Country name,Argentina,Argentina,Argentina,Argentina,Austria,Belgium,Bolivia,Brazil,Brazil,Bulgaria,Chile,Colombia,Colombia,Cote d'Ivoire,Croatia,Czech Republic,Denmark,Dominican Republic,Ecuador,Estonia,Finland,France,Germany,Ghana,Greece,Hungary,Iceland,Indonesia,Ireland,Italy,Jamaica,Japan,Kazakhstan,Korea,Latvia,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Mongolia,Netherlands,Nicaragua,Nigeria,Norway,Paraguay,Philippines,Portugal,Russia,Russia,Slovenia,Spain,Sri Lanka,Sweden,Sweden,Switzerland,Thailand,Turkey,Ukraine,Ukraine,United Kingdom,United States,Uruguay,Venezuela,Vietnam
Crisis date (year and month),Mar-80,Dec-89,Jan-95,Nov-01,Sep-08,Sep-08,Nov-94,Feb-90,Dec-94,Jan-96,Nov-81,Jul-82,Jun-98,1988,Mar-98,Jun-96,Sep-08,Apr-03,Aug-98,Nov-92,Sep-91,Sep-08,Sep-08,Jan-82,Sep-08,Sep-08,Sep-08,Nov-97,Sep-08,Sep-08,Dec-96,Nov-97,Sep-08,Aug-97,Apr-95,Sep-08,Dec-95,Sep-08,Jul-97,Dec-94,Sep-08,Sep-08,Aug-00,Aug-09,Oct-91,May-95,Jul-97,Sep-08,Aug-98,Sep-08,Sep-08,Sep-08,1989,Sep-91,Sep-08,Sep-08,Jul-97,Nov-00,Aug-98,Sep-08,Sep-07,Dec-07,Jan-02,Jan-94,Nov-97
Date when crisis became systemic,May-80,Dec-89,Jan-95,Dec-01,Dec-08,Oct-08,Nov-94,Feb-90,Dec-94,Jun-96,Mar-83,Jul-82,Jun-98,1988,Mar-98,Jun-96,Feb-09,Apr-03,Dec-98,Nov-92,Feb-93,,Oct-09,Jan-82,May-09,,Oct-08,Dec-97,Jan-09,,Feb-97,Nov-97,Sep-10,Nov-97,Apr-95,Dec-08,Dec-95,Sep-08,Mar-98,Jan-95,Nov-09,Oct-08,Jan-01,Oct-11,Oct-91,Jul-95,Mar-98,,Jan-99,,,Apr-11,1989,Sep-92,,,Oct-97,Dec-00,Dec-98,May-09,Nov-08,Oct-08,Apr-02,Jan-94,Oct-98
"Currency crisis (Y/N) (t-1, t+1)",Y,Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N
Year of currency crisis,1981,1988,,2002,,,,1989,1993,1996,1982,,1997,,,1997,,2003,1999,,1992,,,1983,,,2008,1997,,,,,,1997,,,,,1997,1994,,,,,,,1997,,1998,,,,,1992,,,1997,2001,1998,2009,,,2002,1994,
"Sovereign debt crisis (Y/N) (t-1, t+1)",N,N,N,Y,,,N,N,N,N,N,N,N,N,N,N,,Y,Y,N,N,,,N,,,,N,,,N,N,,N,N,,N,,N,N,,,N,,N,N,N,,Y,,,,Y,N,,,N,N,N,,,,N,N,N
Year of sovereign debt crisis,,,,2002,,,,,,,,,,,,,,2003,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,,,,1990,,,,,,,,,,,,
Credit boom (Y/N),Y,N,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,,Y,Y,Y,N,Y,N,N,N,N,Y,,Y,N,,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,,Y,Y,N,Y,N,N
Protection of creditor rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creditor rights index (0-4),1,1,1,1,3,2,2,1,1,1,2,0,0,0,3,3,3,2,0,,3,0,3,1,1,1,,3,1,2,2,3,2,3,3,3,1,,3,0,2,3,4,4,2,1,1,1,1,2,3,2,2,2,1,1,3,2,3,2,4,1,2,3,1
Deposit insurance(Y/N),Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N
