imfcode,country,year,AMCType,NumAMCOp,NumAMCCountry,NumAMCCountryLag,A1C,A2C,A3C,A4C,A5C,A6C,A7C,F1,F2,F3,F4,F5,F6,F7,source,note
512,AFGHANISTAN,1980,NA,,,,,,,,,,,,,,,,,,,nothing found
512,AFGHANISTAN,1981,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1982,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1983,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1984,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1985,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1986,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1987,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1988,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1989,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1990,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1991,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1992,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1993,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1994,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1995,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1996,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1997,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1998,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,1999,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2000,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2001,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2002,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2003,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2004,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2005,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2006,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2007,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2008,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2009,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2010,NA,,,,,,,,,,,,,,,,,,,
512,AFGHANISTAN,2011,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1980,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1981,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1982,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1983,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1984,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1985,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1986,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1987,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1988,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1989,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1990,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1991,NA,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1992,None,,,,,,,,,,,,,,,,,,http://www.bankofalbania.org/web/pub/markoSkreb_evanKraft_ang_218_1.pdf,
914,ALBANIA,1993,None,,,,,,,,,,,,,,,,,,http://www-sre.wu-wien.ac.at/ersa/ersaconfs/ersa01/papers/full/36.pdf,
914,ALBANIA,1994,None,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1995,None,,,,,,,,,,,,,,,,,,,
914,ALBANIA,1996,None,,,,,,,,,,,,,,,,,,http://www-wds.worldbank.org/servlet/WDSContentServer/WDSP/IB/2006/01/03/000090341_20060103111320/Rendered/PDF/34694.pdf,
914,ALBANIA,1997,None,,,,,,,,,,,,,,,,,,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2003/07/09/000012009_20030709093233/Rendered/PDF/262530AL0ICR.pdf,
914,ALBANIA,1998,Centralised,1,1,,1,,,,,,,AMC,,,,,,,http://www.imf.org/external/pubs/ft/wp/wp98113.pdf (p.20),
914,ALBANIA,1999,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,http://crib.mae.ro/upload/docs/4880_Banking%202005.pdf,
914,ALBANIA,2000,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2005/06/22/000012009_20050622113242/Rendered/INDEX/326460rev.txt,
914,ALBANIA,2001,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,,
914,ALBANIA,2002,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,,
914,ALBANIA,2003,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,,
914,ALBANIA,2004,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,,
914,ALBANIA,2005,Centralised,1,1,1,1,,,,,,,AMC,,,,,,,,
914,ALBANIA,2006,NA,,1,1,,,,,,,,,,,,,,,,
914,ALBANIA,2007,NA,,1,,,,,,,,,,,,,,,,,
914,ALBANIA,2008,NA,,1,,,,,,,,,,,,,,,,,
914,ALBANIA,2009,NA,,1,,,,,,,,,,,,,,,,,
914,ALBANIA,2010,NA,,1,,,,,,,,,,,,,,,,,
914,ALBANIA,2011,NA,,1,,,,,,,,,,,,,,,,,
914,ALBANIA,2012,NA,,1,,,,,,,,,,,,,,,,,
612,ALGERIA,1980,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1981,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1982,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1983,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1984,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1985,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1986,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1987,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1988,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1989,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1990,None,,,,,,,,,,,,,,,,,,RR_2008,
612,ALGERIA,1991,None,,,,,,,,,,,,,,,,,,LV_2012,
612,ALGERIA,1992,None,,,,,,,,,,,,,,,,,,http://www.imf.org/external/np/speeches/2005/020305.htm,
612,ALGERIA,1993,None,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1994,None,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1995,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1996,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1997,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1998,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,1999,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2000,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2001,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2002,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2003,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2004,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2005,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2006,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2007,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2008,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2009,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2010,NA,,,,,,,,,,,,,,,,,,,
612,ALGERIA,2011,NA,,,,,,,,,,,,,,,,,,,
,ALGERIA,2012,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1980,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1981,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1982,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1983,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1984,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1985,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1986,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1987,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1988,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1989,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1990,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1991,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1992,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1993,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1994,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1995,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1996,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1997,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1998,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,1999,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2000,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2001,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2002,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2003,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2004,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2005,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2006,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2007,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2008,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2009,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2010,NA,,,,,,,,,,,,,,,,,,,
859,AMERICAN SAMOA,2011,NA,,,,,,,,,,,,,,,,,,,
,AMERICAN SAMOA,2012,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1980,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1981,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1982,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1983,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1984,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1985,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1986,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1987,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1988,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1989,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1990,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1991,None,,,,,,,,,,,,,,,,,,Caprio_Klingebiel_2003,
614,ANGOLA,1992,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1993,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1994,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1995,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1996,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1997,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1998,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,1999,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2000,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2001,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2002,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2003,None,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2004,NA,,,,,,,,,,,,,,,,,,,
614,ANGOLA,2005,NA,,,,,,,,,,,,,,,,,,,
