Country ;Crisis Start;AMC start; AMC Type;AMC name;AMC website;info1;info2;info3;info4
Austria;wrz-2008;;Decentralized;? Hypo Group Alpe Adria (HGAA) ;http://www.hypo-alpe-adria.at/015/home.nsf/home/de;;;;
Austria;wrz-2008;11-2009;;KA Finanz AG;http://www.kafinanz.at/EN/About%20us/About+us.aspx;;;;
Belgium;wrz-2008;09-2008;Decentralized;fortis NV;none;;;;
Belgium;wrz-2008;10-2008;Decentralized;dexia;;;;;
Bolivia;lis-1994;09-1995;Centralised;FONDESIF;www.fondesif.gov.bo;;;;
Bulgaria;sty-1996;09-1996;Decentralized;work-out units in banks;none;;;;
Bulgaria;sty-1996;05-1996;Decentralized;First Private / Mineralbank;;;;;
Colombia;cze-1998;;Centralised;govt / CB / fogafin;;;;;
Cote d Ivoire;00-1988;;Centralised;;;;;;
Croatia;mar-1998;00-1997;Centralised;State Agency for Deposit Insurance and Bank Rehabilitation;http://www.dab.hr/ENSITE/indexen.html;http://www.bankofalbania.org/web/pub/markoSkreb_evanKraft_ang_218_1.pdf;http://www.dab.hr/ENSITE/indexen.html;;
Czech Republic;;00-1991;Centralised;KOB (Konsolidacni banka) and the Revitalization Agency;;http://www.worldbank.org/ifa/icr_cze.pdf;http://unpan1.un.org/intradoc/groups/public/documents/NISPAcee/UNPAN004810.pdf;http://books.google.pl/books?id=L_AF5-fwYIYC&pg=PA93&lpg=PA93&dq=Konsolidacni+banka&source=bl&ots=1U_3asd5iQ&sig=2RDxbN7NdhUoUd41Wt_cYW62Sug&hl=pl&sa=X&ei=re8FUOmkFofUsgbE2-CSBw&ved=0CM8CEOgBMBU#v=onepage&q=Konsolidacni%20banka&f=false (p33);http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.17.4619&rep=rep1&type=pdf
Czech Republic;;00-1993;Centralised;Ceska Inkasni;;;;;
Czech Republic;cze-1996;00-1996;Centralised;Ceska Financni;;;;;
Denmark;wrz-2008;10-2008;Centralised;Finansiel Stabilitet (FS);http://www.finansielstabilitet.dk/;http://ftalphaville.ft.com/blog/2011/02/07/481011/a-senior-haircut-precedent-in-denmark/;Woll paper;;
Dominican Republic;kwi-2003;04-2003;Centralised;central bank;;http://www.cato.org/pubs/fpbriefs/fpb83.pdf;;;
Ecuador;sie-1998;;Centralised;? Deposit Guarantee Agency  / CB;;
Estonia;lis-1992;03-1995;Decentralized;"Social Bank's ""bad bank""";;
Finland;wrz-1991;kwi-1993;Centralised;STS Bank;http://www.vm.fi/vm/en/02_ministry/03_branch_of_government/02_stateowned_companies/index.jsp;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf
Finland;wrz-1991;paŸ-1993;Centralised;Arsenal AMC;http://www.arsenal.fi/;
France;wrz-2008;10-2008;Decentralized;SFEF / SPPE;;
France;wrz-2008;1816!!!;Decentralized;CB and Caisse des Dépôts - DEXIA;http://www.caissedesdepots.fr/en/the-group/who-are-we.html;
France;wrz-2008;04-1995;Decentralized;Consortium de Realisation (CDR);;http://www.prmia.org/pdf/Case_Studies/Credit_Lyonnais_1.pdf
Germany;wrz-2008;10-2008;Decentralized;Special Fund for Financial Market Stabilization (Soffin);http://www.fmsa.de/en/fmsa/soffin/;
Germany;wrz-2008;10-2010;Decentralized;FMS Wert-management;http://www.fms-wm.de/en/;
Germany;wrz-2008;12-2009;Decentralized;Erste Abwicklungsanstalt (EAA);https://www.aa1.de/;
Germany;wrz-2008;03-2009;Decentralized;Portfolio Restructure Unit;;
Germany;???;00-2003;Decentralized;Dresdner Bank 2003;;
Ghana;sty-1982;09-1990;Centralised;Non Performing Assets Recovery Trust (NPART);none;
Indonesia;lis-1997;01-1998;Centralised;Indonesian Bank Restructuring Agency (IBRA);;
Ireland;wrz-2008;12-2009;Centralised;NAMA;http://www.nama.ie/;
Jamaica;gru-1996;01-1997;Centralised;Financial Sector Adjustment Company (Finsac);http://www.finsac.com/;
Japan;lis-1997;00-1996;Centralised;HLAC / RCB;http://www.dic.go.jp/english/e_kikotoha/e_kogaisha/index.html;;http://www.adbi.org/files/2010.06.29.wp222.lessons.japan.banking.crisis.1991.2005.pdf
Japan;lis-1997;04-1999;Centralised;Resolution and Collection Corporation;;;
Japan;lis-1997;04-2003;Centralised;Industrial Revitalization Corporation of Japan (IRCJ);;;
Korea;sie-1997;04-1962;Centralised;Korea Asset Management Corporation (KAMCO);http://kamco.or.kr/eng/index.jsp;http://mpra.ub.uni-muenchen.de/36469/2/MPRA_paper_36469.pdf;
Korea;sie-1997;06-1996;Centralised;Korea Deposit Insurance Corporation (KDIC);http://www.kdic.or.kr/english/index.jsp;;
Latvia;wrz-2008;10-2010;Decentralized;Parex / Reverta;http://www.reverta.lv/;;
Lithuania;gru-1995;00-1996;Centralised;Turto Bankas;http://www.turtas.lt/en/home.html;;
Malaysia;lip-1997;06-1998;Centralised;Pengurusan Danaharta Nasional Burhad;none;http://www.bis.org/publ/plcy06h.pdf;
Malaysia;lip-1997;07-1998;;Corporate Debt Restructuring Committee (CDRC);;;
Malaysia;lip-1997;08-1998;;Danamodal Nasional Berhad (Danamodal) ;;;
Nicaragua;sie-2000;;Decentralized;CB / FOGADE (insurance institution);;;
Nigeria;sie-2009;07-2010;Centralised;AMCON;http://amcon.com.ng/;;
Russia;sie-1998;03-1999;Centralised;Agency for the Restructuring of Credit Organisations (ARKO);none;;
Russia;sie-1998;10-1998;Centralised;State Corporation Deposit Insurance Agency (DIA);http://www.asv.org.ru/en/dia/;;
Sweden;wrz-1991;gru-1992;Decentralised;Bank Support Authority;;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf;http://fic.wharton.upenn.edu/fic/papers/98/9805.pdf
Sweden;wrz-1991;00-1993;Decentralised;Securum (for Nordbanken) and Retriva (for Gota) AMCs begin operation;;;
Sweden;wrz-1991;;Decentralised;other major banks;;;
Switzerland;wrz-2008;10-2008;Decentralized;UBS / stabilization fund;;http://www.centralbanking.com/central-banking-journal/feature/2042698/stabfund-look-inner-workings-bad-bank;
Thailand;lip-1997;10-1997;Centralised;Thai Asset Management Corporation;http://tamc.or.th/en/history.php;http://www.bis.org/publ/plcy06h.pdf;http://www.jri.co.jp/english/periodical/rim/1998/RIMe199804thaifin/
Thailand;lip-1997;04-1997;Centralised;Property Loan Management Organisation;;;
Thailand;lip-1997;10-1997;Centralised;Financial Sector Restructuring Agency (FRA);;;
Thailand;lip-1997;00-1998;Centralised;privately-owned AMCs;;;
Thailand;lip-1997;;Centralised;bad bank for BBC;;;
Thailand;lip-1997;01-1998;Centralised;Radhanasin Bank;;;
Turkey;lis-2000;09-2000;Centralised;Turkish Treasury and the Banking and Supervision Agency;http://www.bddk.org.tr/websitesi/English.aspx;"http://citeseerx.ist.psu.edu/viewdoc/download;jsessionid=D59441922F6F4081D401388837CCD0FF?doi=10.1.1.199.8963&rep=rep1&type=pdf";
United Kingdom;wrz-2007;11-2008;Decentralized;United Kingdom Financial Investments (UKFI);http://www.ukfi.co.uk/;http://en.wikipedia.org/wiki/UK_Financial_Investments_Limited;
United Kingdom;wrz-2007;01-2010;Decentralized;Northern Rock (Asset Management) (NRAM);http://www.n-ram.co.uk/;http://en.wikipedia.org/wiki/Northern_Rock_(Asset_Management);
United Kingdom;wrz-2007;10-2010;Decentralized;UK Asset Resolution Ltd ;http://www.ukar.co.uk/;;
United States;gru-2007;03-2008;Decentralized;Bear Stearns;;;
United States;gru-2007;09-2008;Decentralized;Fannie Mae / Freddie Mac;;http://en.wikipedia.org/wiki/Government_intervention_during_the_subprime_mortgage_crisis;
United States;gru-2007;09-2008;Decentralized;AIG;;;
United States;gru-2007;1933!!!;Decentralized;Federal Deposit Insurance Corporation (FDIC);http://www.fdic.gov/;http://en.wikipedia.org/wiki/Federal_Deposit_Insurance_Corporation;
