Country ;Crisis Start;;AMC start;; AMC Type;"AMC
/ DF
/ BB";"other
funcs
Y/N";"operating
Y/N";close date;;AMC name;"SOE
/ PRIV";"Pred
Y/N";"Pred 
name";Pred start;;"Sort
of change";AMC website;info1;info2
;mth;year;mth;year;;;;;mth;year;;;;;mth;year;;;;
Austria;9;2008;12;2009;Decentralized;BB;;Y;-;-;? Hypo Group Alpe Adria (HGAA) ;;N;-;;;;http://www.hypo-alpe-adria.at/015/home.nsf/home/de;;
Austria;9;2008;11;2009;Decentralized;BB;;Y;-;-;KA Finanz AG;SOE;N;-;;;;http://www.kafinanz.at/EN/About%20us/About+us.aspx;;
Belgium;9;2008;9;2008;Decentralized;recapital;-;;;;fortis NV;;N;-;;;;none;;
Belgium;9;2008;10;2008;Decentralized;recapital;-;;;;dexia;;N;-;;;;;;
Belgium;9;2008;10;2011;Decentralized;BB;N;;;;dexia;;N;-;;;;;http://en.wikipedia.org/wiki/Dexia;
Bolivia;11;1994;9;1995;Centralised;?AMC;Y;;;;FONDESIF;;;;;;;www.fondesif.gov.bo;;
Bulgaria;1;1996;9;1996;Decentralized;;;;;;work-out units in banks;;;;;;;none;;
Colombia;6;1998;;;Centralised;;;;;;govt / CB / fogafin;;;;;;;;;
Cote d Ivoire;???;1988;;;Centralised;;;;;;;;;;;;;;;
Croatia;3;1998;0;1997;Centralised;AMC;Y;Y;-;-;State Agency for Deposit Insurance and Bank Rehabilitation;SOE;N;-;;;;http://www.dab.hr/ENSITE/indexen.html;http://www.bankofalbania.org/web/pub/markoSkreb_evanKraft_ang_218_1.pdf;http://www.dab.hr/ENSITE/indexen.html
Czech Republic;;;0;1991;Centralised;AMC;Y;Y;-;-;KOB (Konsolidacni banka) and the Revitalization Agency;SOE;N;-;;;;;http://www.worldbank.org/ifa/icr_cze.pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.17.4619&rep=rep1&type=pdf
Czech Republic;;;0;1993;Centralised;AMC;;Y;-;-;Ceska Inkasni;SOE;;;;;;;http://unpan1.un.org/intradoc/groups/public/documents/NISPAcee/UNPAN004810.pdf;
Czech Republic;6;1996;0;1996;Centralised;AMC;;Y;-;-;Ceska Financni;;;;;;;;http://books.google.pl/books?id=L_AF5-fwYIYC&pg=PA93&lpg=PA93&dq=Konsolidacni+banka&source=bl&ots=1U_3asd5iQ&sig=2RDxbN7NdhUoUd41Wt_cYW62Sug&hl=pl&sa=X&ei=re8FUOmkFofUsgbE2-CSBw&ved=0CM8CEOgBMBU#v=onepage&q=Konsolidacni%20banka&f=false (p33);
Denmark;9;2008;10;2008;Centralised;;;;;;Finansiel Stabilitet (FS);;N;-;;;;http://www.finansielstabilitet.dk/;http://ftalphaville.ft.com/blog/2011/02/07/481011/a-senior-haircut-precedent-in-denmark/;Woll paper
Dominican Republic;4;2003;4;2003;Centralised;;;;;;central bank;;;;;;;;http://www.cato.org/pubs/fpbriefs/fpb83.pdf;
Ecuador;8;1998;11;1998;Centralised;AMC/DF;Y;;;;Agencia de Garantía de Depósitos (AGD);SOE;N;-;;;;;;
Estonia;11;1992;3;1995;Decentralized;BB;;N;8;1996;"Social Bank's ""bad bank""";;N;-;;;;;;
Finland;9;1991;4;1993;Centralised;;;;;;STS Bank;;;;;;;http://www.vm.fi/vm/en/02_ministry/03_branch_of_government/02_stateowned_companies/index.jsp;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf;
Finland;9;1991;10;1993;Centralised;;;;;;Arsenal AMC;;;;;;;http://www.arsenal.fi/;;
France;9;2008;10;2008;Decentralized;?;;;;;SPPE;PPP;N;-;;;;;;
France;9;2008;10;2008;Decentralized;AMC;;Y;-;-;SFEF;SOE;N;-;;;;;;
France;9;2008;;1816;Decentralized;q-AMC;Y;Y;-;-;CB and Caisse des Dépôts - DEXIA;SOE;N;-;;;;http://www.caissedesdepots.fr/en/the-group/who-are-we.html;;
France;;?;4;1995;Decentralized;AMC;;;;;Consortium de Realisation (CDR);SOE;N;-;;;;;http://www.prmia.org/pdf/Case_Studies/Credit_Lyonnais_1.pdf;
Germany;9;2008;7;2009;Decentralized;AMC;;Y;-;-;Financial Market Stabilisation Agency (FMSA);SOE;Y;same;10;2008;law change;http://www.fmsa.de/en/fmsa/tasks/history/;;
Germany;9;2008;10;2010;Decentralized;BB;;Y;-;-;FMS Wert-management;SOE;N;-;;;;http://www.fms-wm.de/en/;;
Germany;9;2008;12;2009;Decentralized;BB;;Y;-;-;Erste Abwicklungsanstalt (EAA);PPP?;N;-;;;;https://www.aa1.de/;;
Germany;9;2008;3;2009;Decentralized;BB;;Y;-;-;Portfolio Restructure Unit;PRIV;Y;Institutional Restructuring Unit ;;2003;from Dresdner Bank;;http://ftp.iza.org/pp10.pdf;
Germany;???;???;0;2003;Decentralized;BB;;N;;;Dresdner Bank 2003;;N;-;;;;;;
