 , ,country,Attributes,Source,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CO-1, ,Afghanistan ,percent; ; Beginning 0321,1990-2011: Central Statistics Organization Afghanistan,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,-1.24943,-4.56391,-5.3441,-4.47116,-7.76778,-8.0704,4.35012,0.08511,0.36936,... 
CO-9, ,Armenia ,percent; ; Ending 1231,1993-2011: National Statistical Service,... ,... ,... ,... ,... ,... ,... ,-5.90551,-4.36853,-1.72521,-3.76228,-5.23242,-4.92114,-4.32049,-2.61249,-1.27162,-1.66158,-1.90826,-1.49462,-1.48181,-0.08968,-6.84675,-4.07242,-1.74731
CO-11, ,Australia ,percent; ; Ending 0630,1993-2011: Australian Bureau Of Statistics,... ,... ,... ,... ,... ,-4.09612,-3.91163,-2.88826,-2.1006,-1.12158,-0.01442,0.76715,1.78902,0.88839,-0.45182,0.80321,0.79524,1.27821,1.67681,1.62715,1.81394,-2.31365,-4.08743,-3.66052
CO-13, ,Azerbaijan ,percent; ; Ending 1231,1991-2011: State Statistical Committee Of The Republic Of Azerbaijan,... ,... ,... ,3.7037,1.65975,-7.12922,-9.42311,-5.22261,-2.90196,-2.39562,-1.82761,-2.43448,-1.04533,-0.42704,-0.35464,-0.1917,0.32356,-0.68277,0.41982,-0.28067,-0.02865,-0.49998,-0.85459,0.60816
CO-16, ,Bangladesh ,percent; ; Ending 0630,"1988-2008: Bangladesh Bureau Of Statistics, Ministry Of Planning",1.84229,0.00988,-5.66039,-4.30518,-2.13313,-1.27623,-3.72197,-2.24892,-3.04827,-1.97011,-2.12313,-3.2272,-4.52579,-4.07816,-3.70059,-3.37348,-3.3937,-3.71989,-3.28266,-3.21925,-5.25411,... ,... ,... 
CO-24, ,Bhutan ,percent; ; Ending 0630,1988-2011: Ministry Of Finance,-2.81952,-10.75,-7.42868,-0.83246,-3.80756,4.35229,-0.53003,0.08072,2.12867,-2.26303,0.92136,-1.71352,-3.87369,-10.64091,-4.63764,-9.83802,1.85169,-6.74028,-0.78364,0.58186,0.73757,1.76283,1.98288,19.32688
CO-29, ,Brunei Darussalam ,percent; ; Ending 1231|Beginning 0401,"1988-2011: Department Of Statistics, Department Of Economic Planning And Development",-7.18903,-6.0257,-0.34603,-1.63268,-3.91519,-0.68571,15.51962,15.11952,0.52669,1.71401,5.39115,-1.35475,10.89698,0.35644,-9.8733 |,-1.54681,11.33737,21.08331,21.47867,21.9105,27.9191,6.19423,25.8304,23.98393
CO-33, ,Cambodia ,percent; ; Ending 1231,"1991-1999: National Institute Of Statistics
2000-2011: Ministry Of Economy And Finance",... ,... ,... ,-3.40577,-3.58453,-4.67064,-5.74285,-7.1689,-6.20856,-0.86974,-2.44069,-1.2396,-2.08101,-3.13376,-3.19838,-3.37757,-1.61954,-0.70283,-0.15923,-0.49881,-0.07082,-6.25288,-3.13433,-4.52183
CO-42, ,"China, People's Republic of ",percent; ; Ending 1231,"1988-1991,1996-2011: National Bureau Of Statistics",-2.34,-2.06034,-2.76358,-3.04938,... ,... ,... ,... ,-1.76884,-1.89799,-2.37671,-2.95717,-2.79274,-2.51424,-2.61734,-2.16068,-1.31931,-1.23311,-0.76857,0.57953,-0.40195,-2.28531,-1.7,-1.11374
CO-47, ,Cook Islands ,percent; ; Beginning 0401|Ending 0630,"1988-1989,1991-2010: Cook Islands Statistics Office
2011: Ministry Of Finance And Economic Management",-2.50368,-1.05741 |,... ,-1.56647,-3.56234,0.33423,1.93851,-2.80231,-7.81523,-0.22891,-2.5461,-2.39641,-1.54333,1.16542,-3.81064,-0.73256,-0.9386,2.10349,1.57933,3.37228,3.2675,-0.70714,3.27753,... 
