parl,newelecP,oldelecP,country,consolexpcentgov,consolrevcengov,expcengov,revcengov,expgengov,revgengov,cengovdefsur,consolgovdefsur,country_code,cashsurdefimf,cashsurdefwdi,cashsurdef_imf_gfs,cashsurdef_imf_gfs2,drazenbudbal,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Chile,Colombia,CostaRica,DomRep,Ecuador,ElSalvador,Guatemala,Mexico,Nicaragua,Panama,Peru,TrinTob,Uruguay,Venezuela,run620,growth,inflation,oldeleU,oldelecL,newelecL,dbud_bal_comb,newfloating,oldfloating,oldelecL_oldfloat,oldelecP_oldfloat,dcashsurdefimf,dcashsurdefwdi,ddrazenbudbal,dcashsurdef_imf_gfs2,dcashsurdef_imf_gfs,newelecL_newfloat,newelecP_newfloat,dcengovdefsur,dconsolgovdefsur,newinflation,newgrowth,newextdebtpercgni,newextdebt,year,fiscalresponsibilitylaw,newelecL_nfloat_fisresp
0,,,"Argentina",,,,,,,0,0,1,,,-7.21,-36.96,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,444,,,,,1,1,,,,,,,,,,,,444,-2.018251,18.13,9278.4,1976,0,
0,,,"Argentina",,,,,,,0,0,1,,,-2.77,-16.31,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,176,,,,,1,1,,,,,,20.65,4.44,,,0,0,176,6.934148,20.31,11445.3,1977,0,
0,,,"Argentina",,,,,,,0,0,1,,,-3.24,-16.67,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,175.5,,,,,1,1,,,,,,-.3600006,-.47,,,0,0,175.5,-4.506125,23,13276.1,1978,0,
0,,,"Argentina",,,,,,,0,0,1,,,-2.67,-13.61,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,159.5,,,,,1,1,,,,,,3.06,.5699999,,,0,0,159.5,10.22276,30.53,20949.8,1979,0,
0,,,"Argentina",,,,,,,0,0,1,,,-3.59,-25,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,100.8,,,,,1,1,,,,,,-11.39,-.9199998,,,0,0,100.8,4.151762,35.6,27157,1980,0,
0,,,"Argentina",,,,,,,0,0,1,,,-8.22,-35.71,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,104.5,,,,-4.085694,1,1,,,,,,-10.71,-4.63,,,0,0,104.5,-5.689528,46.38,35637.5,1981,0,
0,.1703297,,"Argentina",,,,,,,0,0,1,,,-7.45,-32.35,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-4.9,164.8,,,.1703297,1.655841,1,1,,,,,,3.360001,.7700005,.1703297,.1703297,0,0,164.8,-4.957179,55.04,43614.2,1982,0,0
0,.8296703,.8416666,"Argentina",,,,,,,-.01,-.01,1,,,-12.74,-45.08,-4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,343.8,0,.8416666,.8296703,-2.912182,1,1,.8416666,.8416666,,,,-12.73,-5.29,.8296703,.8296703,-.01,-.01,343.8,3.875124,46.82,45919.7,1983,0,0
0,0,0,"Argentina",,,,,,,-.02,-.03,1,,,-5.06,-25.43,-2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.8,626.7,0,.1472222,.1593407,4.570116,1,1,.1472222,0,,,2.4,19.65,7.68,.1593407,0,-.01,-.02,626.7,2.211773,65.15,48856.8,1984,0,0
0,0,0,"Argentina",,,,,,,-.21,-.29,1,,,-7.39,-26.08,-3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-6.6,672.2,0,.8527778,.8406593,-2.135966,1,1,.8527778,0,,,-1.2,-.6499996,-2.33,.8406593,0,-.19,-.26,672.2,-7.586677,60.89,50945.9,1985,0,0
