Country,Systemic Banking Crisis (starting date),Currency Crisis,Sovereign Debt Crisis (default date),Sovereign Debt Restructuring (year)
,,(year),,
Albania,1994,1997,1990,1992
Algeria,1990,"1988, 1994",,
Angola,,"1991, 1996",1988,1992
Argentina,"1980, 1989, 1995, 2001","1975, 1981, 1987, 2002","1982, 2001","1993, 2005"
Armenia,1994,1994,,
Australia,,,,
Austria,2008,,,
Azerbaijan,1995,1994,,
Bangladesh,1987,1976,,
Barbados,,,,
Belarus,1995,"1994, 1999, 2009",,
Belgium,2008,,,
Belize,,,,
Benin,1988,1994,,
Bhutan              ,,,,
Bolivia,"1986, 1994","1973, 1981",1980,1992
Bosnia and Herzegovina,1992,,,
Botswana,,1984,,
Brazil,"1990, 1994","1976, 1982, 1987, 1992, 1999",1983,1994
Brunei,,,,
Bulgaria,1996,1996,1990,1994
Burkina Faso,1990,1994,,
Burundi,1994,,,
Cambodia            ,,"1971, 1992",,
Cameroon,"1987, 1995",1994,1989,1992
Canada,,,,
Cape Verde,1993,,,
Central African Rep.,"1976, 1995",1994,,
Chad,"1983, 1992",1994,,
Chile,"1976, 1981","1972, 1982",1983,1990
"China, P.R.",1998,,,
Colombia,"1982, 1998",1985,,
Comoros             ,,1994,,
"Congo, Dem. Rep. of","1983, 1991, 1994","1976, 1983, 1989, 1994, 1999, 2009",1976,1989
"Congo, Rep. of",1992,1994,1986,1992
Costa Rica,"1987, 1994","1981, 1991",1981,1990
Côte d’Ivoire,1988,1994,"1984, 2001","1997, n.a."
Croatia,1998,,,
Czech Republic,1996,,,
Denmark,2008,,,
Djibouti,1991,,,
Dominica,,,2002,n.a.
Dominican Republic,2003,"1985, 1990, 2003","1982, 2003","1994, 2005"
Ecuador,"1982, 1998","1982, 1999","1982, 1999, 2008","1995, 2000, 2009"
Egypt,1980,"1979, 1990",1984,1992
El Salvador,1989,1986,,
Equatorial Guinea,1983,"1980, 1994",,
Eritrea,1993,,,
Estonia,1992,1992,,
Ethiopia            ,,1993,,
Fiji                ,,1998,,
Finland,1991,1993,,
France,2008,,,
Gabon,,1994,"1986, 2002",1994
"Gambia, The",,"1985, 2003",1986,1988
Georgia,1991,"1992, 1999",,
Germany,2008,,,
Ghana,1982,"1978, 1983, 1993, 2000, 2009",,
Greece,2008,1983,2012,2012
Grenada,,,2004,2005
Guatemala,,1986,,
Guinea,"1985, 1993","1982, 2005",1985,1992
Guinea-Bissau,1995,"1980, 1994",,
Guyana              ,1993,1987,1982,1992
Haiti               ,1994,"1992, 2003",,
Honduras               ,,1990,1981,1992
"China, P.R.: Hong Kong",,,,
Hungary,"1991, 2008",,,
Iceland,2008,"1975, 1981, 1989, 2008",,
India,1993,,,
Indonesia,1997,"1979, 1998",1999,2002
"Iran, I.R. of",,"1985, 1993, 2000",1992,1994
Ireland,2008,,,
Israel,1977,"1975, 1980, 1985",,
Italy,2008,1981,,
Jamaica,1996,"1978, 1983, 1991","1978, 2010","1990, 2010"
Japan,1997,,,
Jordan,1989,1989,1989,1993
Kazakhstan          ,2008,1999,,
Kenya,"1985, 1992",1993,,
Korea,1997,1998,,
Kuwait,1982,,,
Kyrgyz Republic     ,1995,1997,,
Lao People’s Dem. Rep.,,"1972, 1978, 1986, 1997",,
Latvia,"1995, 2008",1992,,
Lebanon,1990,"1984, 1990",,
Lesotho,,1985,,
Liberia,1991,,1980,n.a.
Libya               ,,2002,,
Lithuania,1995,1992,,
Luxembourg,2008,,,
Macedonia,1993,,,
Madagascar,1988,"1984, 1994, 2004",1981,1992
Malawi,,1994,1982,1988
Malaysia,1997,1998,,
Maldives            ,,1975,,
Mali,1987,1994,,
Mauritania,1984,1993,,
Mauritius,,,,
Mexico,"1981, 1994","1977, 1982, 1995",1982,1990
Moldova             ,,1999,2002,2002
Mongolia            ,2008,"1990, 1997",,
Morocco,1980,1981,1983,1990
Mozambique,1987,1987,1984,1991
Myanmar,,"1975, 1990, 1996, 2001",,
Namibia             ,,1984,,
Nepal,1988,"1984, 1992",,
Netherlands,2008,,,
New Caledonia,,1981,,
New Zealand,,1984,,
Nicaragua,"1990, 2000","1979, 1985, 1990",1980,1995
Niger,1983,1994,1983,1991
Nigeria,"1991, 2009","1983, 1989, 1997",1983,1992
Norway,1991,,,
Pakistan,,1972,,
