Country.name,Crisis date (year and month),Date when crisis became systemic,"Currency crisis (Y/N) (t-1, t+1)",Year of currency crisis,"Sovereign debt crisis (Y/N) (t-1, t+1)",Year of sovereign debt crisis,Credit boom (Y/N),Institutions,Protection of creditor rights,Creditor rights index (0-4),Deposit insurance(Y/N),Year of formation,Coverage limit (in local currency) at start of crisis,Coverage ratio (coverage limit to GDP per capita) at start of crisis,Containment phase,Deposit freeze and bank holiday,Deposit freeze (Y/N),Introduction of deposit freeze,Duration of deposit freeze (in months),Coverage of deposit freeze: time deposits only ? (Y/N),Bank holiday (Y/N),Introduction of bank holiday,Duration of bank holiday (in days),Significant Bank Liabilities Guarantees,Bank guarantee (Y/N),Date of introduction,Date of removal,Duration of guarantee (in months),Coverage of guarantee, ,Liquidity support,Extensive Liquidity support/emergency lending (Y/N),        Date when liquidity support became extensive,Peak support (in % of deposits),Resolution phase,Bank restructuring (Y/N),Nationalizations (Y/N),Asset Purchases and Transfers (Y/N),Asset management company,Recapitalization (Y/N),Recap cost to government (gross) (as % of GDP),Recovery (Y/N),     Recovery proceeds (% of GDP),Recap cost to government (net) (as % of GDP),Were losses imposed on depositors? (Y/N)," If yes, severe=1, moderate=2",Macro policies,Monetary policy index,"Average change in reserve money during years [t, t+3]) (in %)",Fiscal policy index,Increase in public debt minus Fiscal costs (% of GDP),IMF program put in place (Y/N),IMF program put in place (year),Outcome variables,Nonperforming loans,Peak NPLs (as % of total loans; unofficial estimate),Fiscal cost net (%GDP),Gross,"Recovery during period t to t+5, where t is the first year of the crisis",Output loss,Output loss during period t to t+3
Argentina,Mar-80,May-80,Y,1981,N,,Y,,,1,Y,1979, Full ,,,,N,,,,N,,,,N,,,,,,,Y,May-80,64.65%,,Y,Y,N,0,N,,,,,N,,,1,10.57%,-1,-21.95%,Y,1983,,,9.00%,55.10%,55.10%,0.00%,,58.17%
Argentina.1,Dec-89,Dec-89,Y,1988,N,,N,,,1,Y,1979, Full ,,,,Y,1989,120,Y,Y,1990,4,,N,,,,,,,Y,Feb-90,151.57%,,N,N,N,0,N,,,,,Y,1,,1,9.98%,-1,-27.29%,Y,1990,,,27.00%,6.00%,6.00%,0.00%,,12.63%
Argentina.2,Jan-95,Jan-95,N,,N,,Y,,,1,Y,1979,"30,000",404%,,,N,,,,N,,,,N,,,,,,,N,Jan-93,71.35%,,N,N,N,0,Y,0.28%,N,0.00%,0.28%,N,,,-1,-0.84%,0,6.69%,Y,1995,,,17.00%,2.00%,2.00%,0.00%,,0.00%
Argentina.3,Nov-01,Dec-01,Y,2002,Y,2002,N,,,1,Y,1979,"30,000",419%,,,Y,2001,12,N,Y,2001,5,,N,,,,,,,Y,Jan-02,22.86%,,Y,Y,N,0,Y,9.58%,N,0.00%,9.58%,Y,1,,1,8.22%,1,72.30%,Y,2000,,,20.10%,9.58%,9.58%,0.00%,,70.97%
Austria,Sep-08,Dec-08,N,,,,N,,,3,Y,,"20,000",61%,,,N,,,,N,,,,Y,Dec-08,,,Unlimited coverage to depositors. Bank and non-bank bonds. ,,,Y,Oct-08,13%,,Y,Y,N,2,Y,2.90%,,,,N,,,1,8.33%,0,10.11%,N,,,,2.83%,,4.90%,,,14.00%
Belgium,Sep-08,Oct-08,N,,,,Y,,,2,Y,,"20,000",63%,,,N,,,,N,,,,Y,Oct-08,,,Deposit-like insurance instruments. Interbank loans and short-term debt. Specific guarantees on Dexia. ,,,Y,Sep-08,20%,,Y,Y,N,2,Y,5.80%,,,,N,,,1,8.33%,0,13.80%,N,,,,3.11%,,6.00%,,,19.00%
Bolivia,Nov-94,Nov-94,N,,N,,Y,,,2,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,,31.93%,,Y,N,Y,1,Y,0.95%,Y,0.95%,0.00%,Y,2,,-1,1.64%,-1,-25.24%,N,,,,6.20%,2.65%,6.03%,3.37%,,0.00%
Brazil,Feb-90,Feb-90,Y,1989,N,,Y,,,1,N,, -   ,0%,,,Y,1990,29,N,N,,,,N,,,,,,,Y,Jul-88,11.26%,,N,N,N,0,N,,,,,N,,,1,7.69%,-1,-22.64%,Y,1989,,,,0.00%,0.00%,0.00%,,62.30%
Brazil.1,Dec-94,Dec-94,Y,1993,N,,Y,,,1,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,Oct-94,20.12%,,Y,N,N,0,Y,4.98%,N ,0.00%,4.98%,N ,,,-1,-4.26%,-1,-46.98%,N,,,,16.00%,10.20%,13.20%,3.00%,,0.00%
Bulgaria,Jan-96,Jun-96,Y,1996,N,,N,,,1,Y,1996,"5,000",237%,,,N,,,,N,,,,N,,,,,,,Y,Jun-96,17.31%,,Y,Y,Y,2,Y,2.31%,N,0.00%,2.31%,N,,,-1,-2.18%,-1,-44.08%,Y,1996,,,75.00%,13.90%,14.00%,0.10%,,59.51%
Chile,Nov-81,Mar-83,Y,1982,N,,Y,,,2,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,Mar-83,61.23%,,Y,N,Y,0,Y,34.33%,Y,27.87%,6.46%,Y,2,,-1,0.46%,1,45.00%,Y,1983,,,35.60%,16.80%,42.90%,26.10%,,8.61%
Colombia,Jul-82,Jul-82,N,,N,,Y,,,0,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,,21.06%,,Y,Y,N,0,Y,1.87%,N,0.00%,1.87%,N,,,-1,-0.80%,0,11.57%,N,,,,4.10%,5.00%,5.00%,0.00%,,46.96%
Colombia.1,Jun-98,Jun-98,N,1997,N,,N,,,0,Y,1988,"10,000,000",329%,,,N,,,,N,,,,N,,,,,,,Y,Jan-00,5.07%,,Y,Y,Y,1,Y,4.26%,Y,1.56%,2.70%,N,,,-1,0.50%,0,9.13%,N,,,,14.00%,2.54%,6.28%,3.74%,,43.40%
Cote.d.Ivoire,1988,1988,N,,N,,N,,,0,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,,76.85%,,Y,N,Y,1,Y,small,N,0.00%,small,Y,1,,-1,-3.32%,-1,-11.38%,Y,1985,,,50.00%,25.00%,25.00%,0.00%,,44.81%
Croatia,Mar-98,Mar-98,N,,N,,N,,,3,Y,1997,"50,000",180%,,,N,,,,N,,,,N,,,,,,,N,,3.25%,,Y,Y,Y,1,Y,3.20%,N,0.00%,3.20%,N,,,0,5.21%,0,7.19%,N,,,,10.50%,6.90%,6.90%,0.00%,,
Czech.Republic,Jun-96,Jun-96,N,1997,N,,N,,,3,Y,1994,"100,000",75%,,,N,,,,N,,,,N,Jun-96,Jan-98,18,"Depositors, except shareholders up to CZK4m (at the 18 banks under restructuring) and CZK0.1m everywhere else",,,N,,12.66%,,Y,N,Y,1,Y,0.98%,N,0.00%,0.98%,N,,,-1,-1.28%,0,-5.03%,N,,,,18.00%,5.80%,6.80%,1.00%,,
Denmark,Sep-08,Feb-09,N,,,,N,,,3,Y,,"300,000",97%,,,N,,,,N,,,,Y,Feb-09,,,Deposits and unsecured claims of PCA banks. ,,,Y,Nov-08,20%,,Y,Y,N,1,Y,2.80%,,,,N,,,-1,1.23%,1,21.80%,N,,,,4.45%,,3.10%,,,36.00%
Dominican.Republic,Apr-03,Apr-03,Y,2003,Y,2003,Y,,,2,N,, -   ,0%,,,N,,,,N,,,,N,,,, ,,,Y,Jan-03,43.37%,,Y,N,Y,1,N,,,,,N,,,1,6.69%,0,-5.49%,Y,2004,,,9.00%,20.80%,22.00%,1.20%,,
Ecuador,Aug-98,Dec-98,Y,1999,Y,1999,Y,,,0,Y,1998,"7,416",381%,,,Y,1999,6,N,Y,1999,5,,Y,Dec-98,Jan-02,37,,,,Y,Oct-98,26.00%,,Y,Y,Y,1,Y,1.90%,Y,0.30%,1.60%,Y,1,,-1,-0.47%,-1,-12.65%,Y,2000,,,40.00%,16.26%,21.70%,5.44%,,25.35%
Estonia,Nov-92,Nov-92,N,,N,,N,,,,N,, -   ,0%,,,N,,,,N,,,,N,,,,,,,Y,Jan-92,30.92%,,Y,Y,Y,2,Y,1.26%,Y,0.27%,0.99%,Y,1,,,,,,Y,1993,,,7.00%,1.63%,1.90%,0.27%,,
Finland,Sep-91,Feb-93,Y,1992,N,,Y,,,3,Y,1969, Full ,,,,N,,,,N,,,,Y,Feb-93,Dec-98,70,All creditors except for shareholders,,,Y,Feb-90,11.99%,,Y,Y,Y,1,Y,8.63%,Y,1.72%,6.91%,N,,,,,1,30.75%,N,,,,13.00%,11.08%,12.80%,1.72%,,69.59%
France,Sep-08,,N,,,,N,,,0,Y,,"70,000",229%,,,N,,,,N,,,,Y,Oct-08,,,,,,Y,Oct-08,9%,,Y,N,N,2,Y,1.00%,,,,N,,,1,8.33%,1,16.25%,N,,,,4.02%,,1.00%,,,23.00%
Germany,Sep-08,Oct-09,N,,,,N,,,3,Y,,"20,000",68%,,,N,,,,N,,,,Y,Oct-08,,,Unlimited coverage of household deposits. ,,,Y,Sep-08,11%,,Y,Y,Y,2,Y,1.80%,,,,N,,,1,8.33%,1,15.97%,N,,,,3.70%,,1.80%,,,11.00%
Ghana,Jan-82,Jan-82,Y,1983,N,,,,,1,N,, -   ,0%,,,N,,,,N,,,,N,,,, ,,,N,,0.19%,,Y,N,Y,1,Y,6.00%,N,0.00%,6.00%,N,,,-1,-0.49%,0,9.52%,N,,,,35.00%,6.00%,6.00%,0.00%,,45.31%
Greece,Sep-08,May-09,N,,,,Y,,,1,Y,,"20,000",99%,,,N,,,,N,,,,Y,Oct-08,,,,,,Y,Oct-08,46%,,Y,N,N,0,Y,25.40%,,,,N,,,1,8.33%,1,17.21%,Y,"2010, 2012",,,14.70%,,27.30%,,,43.00%
Hungary,Sep-08,,N,,,,Y,,,1,Y,,"6,000,000",237%,,,N,,,,N,,,,Y,Oct-08,,,Unlimited protection to depositors of small banks. ,,,Y,Apr-09,4%,,Y,N,N,0,Y,0.10%,,,,N,,,-1,-0.79%,0,-2.95%,Y,2008,,,13.34%,,2.70%,1.60%,,40.00%
Iceland,Sep-08,Oct-08,Y,2008,,,Y,,,,Y,, Unlimited ,,,,N,,,,N,,,,Y,Oct-08,,,Unlimited coverage to domestic deposits. ,,,Y,Oct-08,21%,,Y,Y,N,0,Y,24.30%,,,,Y,,,-1,-2.30%,1,28.03%,Y,2008,,,61.20%,,44.20%,23.70%,,43.00%
Indonesia,Nov-97,Dec-97,Y,1997,N,,N,,,3,N,, -   ,0%,,,N,,,,N,,,,Y,Jan-98,Jul-05,78,"All deposits and other credits of all domestic banks (excluding shareholders’ capital, subordinated debt, and insider deposits).",,,Y,Jan-98,23.12%,,Y,Y,Y,1,Y,37.30%,N,0.00%,37.30%,N,,,0,4.52%,0,10.76%,Y,1998,,,32.50%,52.30%,56.80%,4.60%,,69.02%
Ireland,Sep-08,Jan-09,N,,,,Y,,,1,Y,,"20,000",46%,,,N,,,,N,,,,Y,Sep-08,,,Unlimited coverage to most liabilities of 10 banks. ,,,Y,Sep-08,20%,,Y,Y,Y,1,Y,40.70%,,,,N,,,1,8.33%,1,32.11%,Y,2010,,,12.90%,,40.70%,,,106.00%
