CountryName,ArrID,ArrType,ApprovalDate,InitialEndDate,RevisedEndDate,IniPgmYr,BoardActDate,ReviewType,ReviewSequence,EconDescrpt,Descpt,CondtOriginTxt,SPC_PA_SB,CondtSource,CondtSourceTxt,LeadInst,TestDate,Status,Comments
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.8. Budget preparation (e.g., submission or approval)",Submit to parliament the core budget's audited financial statement for 2006/07.,,SPC,,,,09/21/2007,W,This deadline is consistent with the requirement stated in the Public Finance and Expenditure Management (PFEM) Law that the core budget financial statements be submitted to parliament at least six months before the end of the fiscal year. The deadline was missed by one day. A waiver was granted at the time of the third review.
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.8. Budget preparation (e.g., submission or approval)",Submit to parliament the core budget's audited financial statement for 2007/08.,,SPC,,,,09/21/2008,M,"At P1R4, in the Memorandum of Economic and Financial Policies (MEFP) of January 28, 2008, Fund staff and the authorities reached an understanding that this measure would be made a structural performance criterion for the sixth disbursement."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"8. International trade policy, excluding customs reforms",Reduce to 20 percent the 40 percent tariff rate on soft drinks established by Presidential Decree Nr. 96.,,SPC,,,,03/31/2009,CAN,"At P1R4,  in the Memorandum of Economic and Financial Policies (MEFP) of January 28, 2008, Fund staff and the authorities reached an understanding that this measure would be made a structural performance criterion for the seventh disbursement. At P1R5, in the Memorandum of Economic and Financial Policies (MEFP) of March 4, 2009, Fund staff and the authorities reached an understanding to cancel this measure as a performance criterion, while noting that the authorities remain committed to simplifying the trade regime by reducing the tariff on soft drinks from 40 percent to 20 percent."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.6. Expenditure auditing, accounting, and financial controls",Submission of DABM's audited financial statements for 2006/07-2007/08.,,SPC,,,,09/30/2008,W,"At P1R5, in the Memorandum of Economic and Financial Policies (MEFP) of March 4, 2009, Fund staff and the authorities reached an agreement that this measure was not observed and would be a prior action for the completion of the 5th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"1.8. Budget preparation (e.g., submission or approval)",Submit to parliament the core budget's audited financial statements for 2005/06,,SPC,,,,09/30/2006,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"2.2. Central bank auditing, transparency, and financial controls",DAB should appoint a reputable international audit firm to audit the bank's annual financial statements for financial year 1386 (2007/2008) in accordance with International Standards on Auditing.,,PA,,,,Third Review Prior action,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"2.2. Central bank auditing, transparency, and financial controls","DAB's external auditor, KPMG Afghanistan, should complete a special audit of the central bank's reserve assets reported to the IMF as of September 22, 2007. The audit should be conducted in accordance with International Standards on Auditing.",,PA,,,,Third Review Prior action,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"5.2. Privatization, public enterprise reform and restructuring, other than pricing","Submission of Da Afghanistan Breshna Moassessa (DABM), the state-owned electricity company, audited financial statements for 2006/07-07/08.",Condition was previously a performance criterion,PA,,,,Fifth Review Prior action,M,"At P1R5, in the Memorandum of Economic and Financial Policies (MEFP) of March 4, 2009, Fund staff and the authorities reached an agreement that this measure, which was originally a performance criterion for the Fifth Review that was not observed, would be a prior action for the completion of the 5th Review."
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"8. International trade policy, excluding customs reforms","Eliminate the discriminatory application of the 1 percent tariff rate on imports of raw materials and intermediate goods by repealing the Decree Nr. 5016, effective December 31, 2007.",,PA,,,,Third Review Prior action,M,NULL
"AFGHANISTAN,ISLAMIC REPUBLIC OF",570,PRGF,06/26/2006,06/25/2009,09/25/2010,2006,01/13/2010,R6,L   ,"8. International trade policy, excluding customs reforms",Amendment of income tax legislation to inroduce business receipts tax on imports.,,PA,,,,Fifth Review Prior action,M,"At P1R5, in the Memorandum of Economic and Financial Policies (MEFP) of March 4, 2009, Fund staff and the authorities reached an agreement to make this measure as a prior action for the completion of the Fifth Review."
