"imfcode","country","year","AMCType","AMCAnyCreated","NumAMCOpNoNA","NumAMCCountryNoNA","NumAMCCountryLagNoNA","F1","F2","F3","F4","F5"
112,"UNITED KINGDOM",2006,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",1995,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",1996,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",1997,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",1998,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",1999,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2000,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2001,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2002,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2003,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2004,NA,0,0,0,0,NA,NA,NA,NA,NA
112,"UNITED KINGDOM",2007,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2005,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2006,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2007,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2008,NA,0,0,0,0,NA,NA,NA,NA,NA
178,"IRELAND",2009,"Centralised",1,1,1,0,"AMC",NA,NA,NA,NA
178,"IRELAND",2010,"Centralised",0,1,1,1,"AMC",NA,NA,NA,NA
178,"IRELAND",2011,"Centralised",0,1,1,1,"AMC",NA,NA,NA,NA
178,"IRELAND",2012,"Centralised",0,1,1,1,"AMC",NA,NA,NA,NA
112,"UNITED KINGDOM",2008,"Decentralised",1,1,1,0,"AMC",NA,NA,NA,NA
181,"MALTA",1980,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1981,NA,0,0,0,0,NA,NA,NA,NA,NA
112,"UNITED KINGDOM",2009,"Decentralised",0,1,1,1,"AMC",NA,NA,NA,NA
181,"MALTA",1982,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1983,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1984,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1985,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1986,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1987,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1988,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1989,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1990,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1991,NA,0,0,0,0,NA,NA,NA,NA,NA
112,"UNITED KINGDOM",2010,"Decentralised",1,3,3,1,"AMC","AMC","AMC",NA,NA
181,"MALTA",1992,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1993,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1994,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1995,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1996,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1997,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1998,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",1999,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2000,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2001,NA,0,0,0,0,NA,NA,NA,NA,NA
112,"UNITED KINGDOM",2011,"Decentralised",1,2,3,3,"AMC",NA,"AMC",NA,NA
181,"MALTA",2002,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2003,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2004,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2005,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2006,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2007,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2008,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2009,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2010,NA,0,0,0,0,NA,NA,NA,NA,NA
181,"MALTA",2011,NA,0,0,0,0,NA,NA,NA,NA,NA
112,"UNITED KINGDOM",2012,"Decentralised",0,2,3,3,"AMC",NA,"AMC",NA,NA
182,"PORTUGAL",1980,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1981,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1982,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1983,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1984,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1985,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1986,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1987,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1988,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1989,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1990,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1991,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1992,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1993,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1994,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1995,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1996,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1997,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1998,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",1999,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2000,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2001,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2002,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2003,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2004,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2005,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2006,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2007,NA,0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2008,"None",0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2009,"None",0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2010,"None",0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2011,"None",0,0,0,0,NA,NA,NA,NA,NA
182,"PORTUGAL",2012,"None",0,0,0,0,NA,NA,NA,NA,NA
184,"SPAIN",1980,"Centralised",1,1,1,0,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1981,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1982,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1983,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1984,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1985,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1986,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1987,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1988,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1989,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1990,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1991,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1992,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1993,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1994,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1995,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1996,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1997,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1998,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",1999,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2000,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2001,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2002,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2003,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2004,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2005,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2006,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2007,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2008,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2009,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2010,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2011,"Centralised",0,1,1,1,"DI/AMC",NA,NA,NA,NA
184,"SPAIN",2012,"Centralised",1,2,2,1,"DI/AMC","AMC",NA,NA,NA
186,"TURKEY",1980,NA,0,0,0,0,NA,NA,NA,NA,NA
