"imfcode","country","year","yrcurnt","govfrac","execrlc","checks","polariz","percent1","percentl","prtyin","ElectionYear"
"1",733,"South Sudan",2011,NA,NA,NA,1,0,92.9899978637695,NA,1,NA
"2",733,"South Sudan",2012,NA,0.616532623767853,NA,1,0,92.9899978637695,NA,2,NA
"3",423,"Turk Cyprus",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",423,"Turk Cyprus",1976,0,NA,NA,1,0,NA,NA,NA,"ElectionYear"
"5",423,"Turk Cyprus",1977,4,0,"Right",3,0,NA,NA,NA,"NotElectionYear"
"6",423,"Turk Cyprus",1978,3,0,"Right",3,0,NA,NA,NA,"NotElectionYear"
"7",423,"Turk Cyprus",1979,2,0,"Right",3,0,NA,NA,NA,"NotElectionYear"
"8",423,"Turk Cyprus",1980,1,0,"Right",3,0,NA,NA,NA,"NotElectionYear"
"9",423,"Turk Cyprus",1981,0,0,"Right",3,0,NA,NA,NA,"ElectionYear"
"10",423,"Turk Cyprus",1982,4,0.391304343938828,"Right",4,2,NA,NA,NA,"NotElectionYear"
"11",423,"Turk Cyprus",1983,3,0.391304343938828,"Right",4,2,NA,NA,NA,"NotElectionYear"
"12",423,"Turk Cyprus",1984,2,0.391304343938828,"Right",4,2,NA,NA,NA,"NotElectionYear"
"13",423,"Turk Cyprus",1985,0,0.391304343938828,"Right",4,2,NA,NA,NA,"ElectionYear"
"14",423,"Turk Cyprus",1986,4,0.253968268632889,"Right",3,2,NA,NA,NA,"NotElectionYear"
"15",423,"Turk Cyprus",1987,3,0.253968268632889,"Right",3,2,NA,NA,NA,"NotElectionYear"
"16",423,"Turk Cyprus",1988,2,0.253968268632889,"Right",3,2,NA,NA,NA,"NotElectionYear"
"17",423,"Turk Cyprus",1989,1,0.253968268632889,"Right",3,2,NA,NA,NA,"NotElectionYear"
"18",423,"Turk Cyprus",1990,0,0.253968268632889,"Right",3,2,NA,NA,NA,"ElectionYear"
"19",423,"Turk Cyprus",1991,4,0,"Right",3,0,67.5,NA,NA,"NotElectionYear"
"20",423,"Turk Cyprus",1992,3,0,"Right",3,0,67.5,NA,NA,"NotElectionYear"
"21",423,"Turk Cyprus",1993,2,0,"Right",3,0,67.5,NA,NA,"NotElectionYear"
"22",423,"Turk Cyprus",1994,1,0.51587301492691,"Right",3,2,67.5,NA,NA,"NotElectionYear"
"23",423,"Turk Cyprus",1995,0,0.51587301492691,"Right",3,2,67.5,NA,NA,"ElectionYear"
"24",423,"Turk Cyprus",1996,4,0.51587301492691,"Right",3,2,40.4000015258789,62.5,NA,"NotElectionYear"
"25",423,"Turk Cyprus",1997,3,0.51587301492691,"Right",3,2,40.4000015258789,62.5,NA,"NotElectionYear"
"26",423,"Turk Cyprus",1998,2,0.51587301492691,"Right",3,2,40.4000015258789,62.5,NA,"NotElectionYear"
"27",423,"Turk Cyprus",1999,1,0.468468457460403,"Right",3,2,40.4000015258789,62.5,NA,"NotElectionYear"
"28",423,"Turk Cyprus",2000,0,0.468468457460403,"Right",3,2,40.4000015258789,62.5,NA,"ElectionYear"
"29",423,"Turk Cyprus",2001,4,0.468468457460403,"Right",3,2,43.6699981689453,NA,NA,"NotElectionYear"
"30",423,"Turk Cyprus",2002,3,0.468468457460403,"Right",3,2,43.6699981689453,NA,NA,"NotElectionYear"
"31",423,"Turk Cyprus",2003,2,0.468468457460403,"Right",3,2,43.6699981689453,NA,NA,"NotElectionYear"
"32",423,"Turk Cyprus",2004,1,0.409230768680573,"Right",3,2,43.6699981689453,NA,NA,"NotElectionYear"
