"year","IMFDreher","imfcode"
"1970",0,512
"1971",0,512
"1972",0,512
"1973",1,512
"1974",0,512
"1975",1,512
"1976",0,512
"1977",0,512
"1978",0,512
"1979",0,512
"1980",0,512
"1981",0,512
"1982",0,512
"1983",0,512
"1984",0,512
"1985",0,512
"1986",0,512
"1987",0,512
"1988",0,512
"1989",0,512
"1990",0,512
"1991",0,512
"1992",0,512
"1993",0,512
"1994",0,512
"1995",0,512
"1996",0,512
"1997",0,512
"1998",0,512
"1999",0,512
"2000",0,512
"2001",0,512
"2002",0,512
"2003",0,512
"2004",0,512
"2005",0,512
"2006",0,512
"2007",0,512
"2008",0,512
"1970",0,914
"1971",0,914
"1972",0,914
"1973",0,914
"1974",0,914
"1975",0,914
"1976",0,914
"1977",0,914
"1978",0,914
"1979",0,914
"1980",0,914
"1981",0,914
"1982",0,914
"1983",0,914
"1984",0,914
"1985",0,914
"1986",0,914
"1987",0,914
"1988",0,914
"1989",0,914
"1990",0,914
"1991",0,914
"1992",1,914
"1993",0,914
"1994",0,914
"1995",0,914
"1996",0,914
"1997",0,914
"1998",0,914
"1999",0,914
"2000",0,914
"2001",0,914
"2002",0,914
"2003",0,914
"2004",0,914
"2005",0,914
"2006",1,914
"2007",0,914
"2008",0,914
"1970",0,612
"1971",0,612
"1972",0,612
"1973",0,612
"1974",0,612
"1975",0,612
"1976",0,612
"1977",0,612
"1978",0,612
"1979",0,612
"1980",0,612
"1981",0,612
"1982",0,612
"1983",0,612
"1984",0,612
"1985",0,612
"1986",0,612
"1987",0,612
"1988",0,612
"1989",1,612
"1990",0,612
"1991",0,612
"1992",0,612
"1993",0,612
"1994",1,612
"1995",0,612
"1996",0,612
"1997",0,612
"1998",0,612
"1999",0,612
"2000",0,612
"2001",0,612
"2002",0,612
"2003",0,612
"2004",0,612
"2005",0,612
"2006",0,612
"2007",0,612
"2008",0,612
"1970",0,614
"1971",0,614
"1972",0,614
"1973",0,614
"1974",0,614
"1975",0,614
"1976",0,614
"1977",0,614
"1978",0,614
"1979",0,614
"1980",0,614
"1981",0,614
"1982",0,614
"1983",0,614
"1984",0,614
"1985",0,614
"1986",0,614
"1987",0,614
"1988",0,614
"1989",0,614
"1990",0,614
"1991",0,614
"1992",0,614
"1993",0,614
"1994",0,614
"1995",0,614
"1996",0,614
"1997",0,614
"1998",0,614
"1999",0,614
"2000",0,614
"2001",0,614
"2002",0,614
"2003",0,614
"2004",0,614
"2005",0,614
"2006",0,614
"2007",0,614
"2008",0,614
"1970",0,311
"1971",0,311
"1972",0,311
"1973",0,311
"1974",0,311
"1975",0,311
"1976",0,311
"1977",0,311
"1978",0,311
"1979",0,311
"1980",0,311
"1981",0,311
"1982",0,311
"1983",0,311
"1984",0,311
"1985",0,311
"1986",0,311
"1987",0,311
"1988",0,311
"1989",0,311
"1990",0,311
"1991",0,311
"1992",0,311
"1993",0,311
"1994",0,311
"1995",0,311
"1996",0,311
"1997",0,311
"1998",0,311
"1999",0,311
"2000",0,311
"2001",0,311
"2002",0,311
"2003",0,311
"2004",0,311
"2005",0,311
"2006",0,311
"2007",0,311
"2008",0,311
"1970",0,213
"1971",0,213
"1972",0,213
"1973",0,213
"1974",0,213
"1975",0,213
"1976",1,213
"1977",1,213
"1978",0,213
"1979",0,213
"1980",0,213
"1981",0,213
"1982",0,213
"1983",1,213
"1984",1,213
"1985",0,213
"1986",0,213
"1987",1,213
"1988",0,213
"1989",1,213
"1990",0,213
"1991",1,213
"1992",0,213
"1993",0,213
"1994",0,213
"1995",0,213
"1996",1,213
"1997",0,213
"1998",0,213
"1999",0,213
"2000",1,213
"2001",1,213
"2002",0,213
"2003",1,213
"2004",0,213
"2005",0,213
"2006",0,213
"2007",0,213
"2008",0,213
"1970",0,911
"1971",0,911
"1972",0,911
"1973",0,911
"1974",0,911
"1975",0,911
"1976",0,911
"1977",0,911
"1978",0,911
"1979",0,911
"1980",0,911
"1981",0,911
"1982",0,911
"1983",0,911
"1984",0,911
"1985",0,911
"1986",0,911
"1987",0,911
"1988",0,911
"1989",0,911
"1990",0,911
"1991",0,911
"1992",0,911
"1993",0,911
"1994",0,911
"1995",1,911
"1996",0,911
"1997",0,911
"1998",0,911
"1999",0,911
"2000",0,911
"2001",0,911
"2002",0,911
"2003",0,911
"2004",0,911
"2005",0,911
"2006",0,911
"2007",0,911
"2008",0,911
"1970",0,912
"1971",0,912
"1972",0,912
"1973",0,912
"1974",0,912
"1975",0,912
"1976",0,912
"1977",0,912
"1978",0,912
"1979",0,912
"1980",0,912
"1981",0,912
"1982",0,912
"1983",0,912
"1984",0,912
"1985",0,912
"1986",0,912
"1987",0,912
"1988",0,912
"1989",0,912
"1990",0,912
"1991",0,912
"1992",0,912
"1993",0,912
"1994",0,912
"1995",1,912
"1996",0,912
"1997",0,912
"1998",0,912
"1999",0,912
"2000",0,912
"2001",0,912
"2002",0,912
"2003",0,912
"2004",0,912
"2005",0,912
"2006",0,912
"2007",0,912
"2008",0,912
"1970",0,313
"1971",0,313
"1972",0,313
"1973",0,313
"1974",0,313
"1975",0,313
"1976",0,313
"1977",0,313
"1978",0,313
"1979",0,313
"1980",0,313
"1981",0,313
"1982",0,313
"1983",0,313
"1984",0,313
"1985",0,313
"1986",0,313
"1987",0,313
"1988",0,313
"1989",0,313
"1990",0,313
"1991",0,313
"1992",0,313
"1993",0,313
"1994",0,313
"1995",0,313
"1996",0,313
"1997",0,313
"1998",0,313
"1999",0,313
"2000",0,313
"2001",0,313
"2002",0,313
"2003",0,313
"2004",0,313
"2005",0,313
"2006",0,313
"2007",0,313
"2008",0,313
"1970",0,419
"1971",0,419
"1972",0,419
"1973",0,419
"1974",0,419
"1975",0,419
"1976",0,419
"1977",0,419
"1978",0,419
"1979",0,419
"1980",0,419
"1981",0,419
"1982",0,419
"1983",0,419
"1984",0,419
"1985",0,419
"1986",0,419
"1987",0,419
"1988",0,419
"1989",0,419
"1990",0,419
"1991",0,419
"1992",0,419
"1993",0,419
"1994",0,419
"1995",0,419
"1996",0,419
"1997",0,419
"1998",0,419
"1999",0,419
"2000",0,419
"2001",0,419
"2002",0,419
"2003",0,419
"2004",0,419
"2005",0,419
"2006",0,419
"2007",0,419
"2008",0,419
"1970",0,513
"1971",0,513
"1972",0,513
"1973",0,513
"1974",1,513
"1975",1,513
"1976",0,513
"1977",0,513
"1978",0,513
"1979",1,513
"1980",0,513
"1981",0,513
"1982",0,513
"1983",1,513
"1984",0,513
"1985",1,513
"1986",0,513
"1987",0,513
"1988",0,513
"1989",0,513
"1990",0,513
"1991",0,513
"1992",0,513
"1993",0,513
"1994",0,513
"1995",0,513
"1996",0,513
"1997",0,513
"1998",0,513
"1999",0,513
"2000",0,513
"2001",0,513
"2002",0,513
"2003",0,513
"2004",0,513
"2005",0,513
"2006",0,513
"2007",0,513
"2008",0,513
"1970",0,316
"1971",0,316
"1972",0,316
"1973",0,316
"1974",0,316
"1975",0,316
"1976",0,316
"1977",0,316
"1978",0,316
"1979",0,316
"1980",0,316
"1981",0,316
"1982",1,316
"1983",0,316
"1984",0,316
"1985",0,316
"1986",0,316
"1987",0,316
"1988",0,316
"1989",0,316
"1990",0,316
"1991",0,316
"1992",1,316
"1993",0,316
"1994",0,316
"1995",0,316
"1996",0,316
"1997",0,316
"1998",0,316
"1999",0,316
"2000",0,316
"2001",0,316
"2002",0,316
"2003",0,316
"2004",0,316
"2005",0,316
"2006",0,316
"2007",0,316
"2008",0,316
"1970",0,913
"1971",0,913
"1972",0,913
"1973",0,913
"1974",0,913
"1975",0,913
"1976",0,913
"1977",0,913
"1978",0,913
"1979",0,913
"1980",0,913
"1981",0,913
"1982",0,913
"1983",0,913
"1984",0,913
"1985",0,913
"1986",0,913
"1987",0,913
"1988",0,913
"1989",0,913
"1990",0,913
"1991",0,913
"1992",0,913
"1993",0,913
"1994",0,913
"1995",1,913
"1996",0,913
"1997",0,913
"1998",0,913
"1999",0,913
"2000",0,913
"2001",0,913
"2002",0,913
"2003",0,913
"2004",0,913
"2005",0,913
"2006",0,913
"2007",0,913
"2008",0,913
"1970",0,339
"1971",0,339
"1972",0,339
"1973",0,339
"1974",0,339
"1975",0,339
"1976",0,339
"1977",0,339
"1978",0,339
"1979",0,339
"1980",0,339
"1981",0,339
"1982",0,339
"1983",0,339
"1984",1,339
"1985",0,339
"1986",0,339
"1987",0,339
"1988",0,339
"1989",0,339
"1990",0,339
"1991",0,339
"1992",0,339
"1993",0,339
"1994",0,339
"1995",0,339
"1996",0,339
"1997",0,339
"1998",0,339
"1999",0,339
"2000",0,339
"2001",0,339
"2002",0,339
"2003",0,339
"2004",0,339
"2005",0,339
"2006",0,339
"2007",0,339
"2008",0,339
"1970",0,638
"1971",0,638
"1972",0,638
"1973",0,638
"1974",0,638
"1975",0,638
"1976",0,638
"1977",0,638
"1978",0,638
"1979",0,638
