"imfcode","year","legal_abs","political_abs","economic_abs"
NA,1990,NA,NA,NA
NA,1991,NA,NA,NA
NA,1992,NA,NA,NA
NA,1993,NA,NA,NA
NA,1994,NA,NA,NA
NA,1995,NA,NA,NA
NA,1996,NA,NA,NA
NA,1997,NA,NA,NA
NA,1998,NA,NA,NA
NA,1999,NA,NA,NA
NA,2000,NA,NA,NA
NA,2001,NA,NA,NA
NA,2002,0.9368335,NA,0.8155718
NA,2003,0.9221439,NA,0.7794704
NA,2004,0.9328465,NA,0.7781236
NA,2005,0.9190173,NA,0.775176
NA,2006,0.9128097,NA,0.7746405
NA,2007,0.932852,NA,0.7767561
NA,2008,0.933064,NA,0.7785838
NA,2009,0.9350441,NA,0.7788762
NA,2010,0.9339567,NA,0.7775201
512,1990,NA,0.0875,NA
512,1991,NA,0.05625,NA
512,1992,NA,0.1979167,NA
512,1993,NA,0.15625,NA
512,1994,NA,0.1,0
512,1995,NA,0.1,0
512,1996,0.0706744,0.0533936,0.0558481
512,1997,0.0713015,0.0327501,0.0543285
512,1998,0.0719285,0.0329399,0.0528089
512,1999,0.070826,0.0315488,0.0512502
512,2000,0.0697235,0.0301577,0.0496916
512,2001,NA,0.0208575,0.1311501
512,2002,0.1863914,0.1355161,0.2481252
512,2003,0.1935513,0.1653276,0.2872841
512,2004,0.2240606,0.1858957,0.2857728
512,2005,0.2786118,0.1635624,0.2712058
512,2006,0.2620904,0.1531786,0.2683389
512,2007,0.2638681,0.138302,0.2677397
512,2008,0.1961334,0.1230987,0.2760025
512,2009,0.198985,0.0917509,0.251748
512,2010,0.1994763,0.1105604,0.2828502
614,1990,0.3425926,0.2574074,0.5833333
614,1991,0.5,0.3259259,0.5416667
614,1992,0.4583333,0.3117284,0.4097222
614,1993,0.2958333,0.211299,0.2222222
614,1994,0.3131945,0.1953268,0.1840278
614,1995,0.3588889,0.2697712,0.2538194
614,1996,0.3082801,0.3025021,0.2995384
614,1997,0.3233044,0.2780747,0.2878473
614,1998,0.3336992,0.2149665,0.2756006
614,1999,0.3348793,0.1915651,0.2428386
614,2000,0.3244854,0.2221476,0.2378543
614,2001,0.3716299,0.2514268,0.2946955
614,2002,0.4122107,0.2816257,0.3938931
614,2003,0.428805,0.2970337,0.4303001
614,2004,0.4251828,0.2853385,0.3613727
614,2005,0.3876386,0.2960765,0.311552
614,2006,0.3863536,0.321154,0.3845346
614,2007,0.3674903,0.3172231,0.3900089
614,2008,0.3829804,0.3289526,0.3749892
614,2009,0.3665153,0.315097,0.3717534
614,2010,0.3425547,0.3231918,0.4020058
914,1990,0.6111111,0.4716049,0.125
914,1991,0.6574074,0.4924383,0.1480184
914,1992,0.6712963,0.5859375,0.1571478
914,1993,0.5263889,0.5351879,0.2224663
914,1994,0.5819444,0.5226879,0.2931032
914,1995,0.5390151,0.5206046,0.4102112
914,1996,0.5203274,0.4375283,0.4358824
914,1997,0.5053356,0.4104309,0.4213398
914,1998,0.4458992,0.4585859,0.4059291
914,1999,0.4127423,0.4172194,0.3923247
914,2000,0.3968625,0.4560038,0.4068453
914,2001,0.4184409,0.5239958,0.4770548
914,2002,0.4662099,0.4906299,0.5198171
914,2003,0.4794327,0.5500802,0.5493616
914,2004,0.3957282,0.5388516,0.5334597
914,2005,0.4182006,0.5465982,0.5218553
914,2006,0.4268196,0.5524315,0.5652388
914,2007,0.4365445,0.554392,0.5678163
914,2008,0.4654927,0.5821671,0.5674347
914,2009,0.4802287,0.5828797,0.6187076
914,2010,0.4828254,0.5800349,0.621995
466,1990,0.3888889,0.3953704,0.6761136
466,1991,0.3888889,0.3814815,0.6859046
466,1992,0.5555556,0.4416667,0.6870152
466,1993,0.4291667,0.4041667,0.5449449
466,1994,0.4208333,0.4279167,0.5511111
466,1995,0.4795218,0.4141667,0.5439439
466,1996,0.5576573,0.4151038,0.6264715
466,1997,0.5584719,0.4137599,0.6292697
466,1998,0.5592865,0.4275675,0.6320679
466,1999,0.559103,0.440485,0.6373966
466,2000,0.5903634,0.4420388,0.6427254
466,2001,0.6068416,0.4764655,0.6758297
466,2002,0.584431,0.4606396,0.7021677
466,2003,0.5500079,0.4747464,0.6476893
466,2004,0.5140593,0.485419,0.6448291
466,2005,0.5420516,0.4891013,0.6577128
466,2006,0.566946,0.4848222,0.6350369
466,2007,0.5611725,0.4891749,0.6454462
466,2008,0.5691423,0.4912992,0.6525631
466,2009,0.5431355,0.5073559,0.6561107
466,2010,0.5460103,0.516582,0.6822765
213,1990,0.6666667,0.6529956,0.3942084
213,1991,0.6666667,0.6529956,0.5296422
213,1992,0.6712963,0.6514524,0.6231502
213,1993,0.6361111,0.6245016,0.5947156
213,1994,0.6729167,0.6321324,0.654522
213,1995,0.5866362,0.6204991,0.6647732
213,1996,0.6947489,0.5818479,0.7182491
213,1997,0.6934391,0.5650903,0.7105846
213,1998,0.6865736,0.5535768,0.7063924
213,1999,0.686425,0.5656177,0.6779073
213,2000,0.6040862,0.6044117,0.6558721
213,2001,0.4981696,0.5772566,0.6314924
213,2002,0.4652156,0.5617915,0.5666486
213,2003,0.4503102,0.599944,0.4984027
213,2004,0.486351,0.5796662,0.4548089
213,2005,0.4862277,0.5979979,0.4553653
213,2006,0.4709151,0.6064504,0.4698164
213,2007,0.4806964,0.6043497,0.4819797
213,2008,0.4711253,0.6070393,0.478794
213,2009,0.4582284,0.5966951,0.4413877
213,2010,0.4689159,0.6013991,0.4098113
911,1990,NA,NA,NA
911,1991,NA,NA,NA
911,1992,NA,0.5544118,NA
911,1993,NA,0.4818628,0.0666667
911,1994,NA,0.4818628,0.0666667
911,1995,NA,0.4085294,0.0666667
911,1996,0.4373389,0.2993297,0.4140514
911,1997,0.4410002,0.2835551,0.4201559
911,1998,0.4363281,0.3982543,0.4262605
911,1999,0.5158671,0.4391884,0.4168342
911,2000,0.5093673,0.4445852,0.4565488
911,2001,0.5191686,0.4797791,0.5860955
911,2002,0.5095254,0.4488616,0.5856421
911,2003,0.5281212,0.4392185,0.5791548
911,2004,0.4156482,0.4203287,0.6698685
911,2005,0.4665466,0.428233,0.6771049
911,2006,0.4696274,0.4358701,0.6897093
911,2007,0.4466205,0.4353269,0.693112
911,2008,0.445753,0.390306,0.6887239
911,2009,0.4403083,0.4107131,0.6691459
911,2010,0.4486381,0.4080881,0.6757302
311,1990,NA,NA,NA
311,1991,NA,NA,NA
311,1992,NA,NA,NA
311,1993,NA,NA,NA
311,1994,NA,NA,NA
311,1995,NA,NA,NA
311,1996,0.5566887,NA,0.5823907
311,1997,0.5581854,NA,0.5828618
311,1998,0.5596822,NA,0.583333
311,1999,0.5582988,NA,0.5653394
311,2000,0.612471,NA,0.5640125
311,2001,0.7405895,NA,0.577283
311,2002,0.7409303,NA,0.5572202
311,2003,0.7396884,NA,0.5880504
311,2004,0.7334235,NA,0.5938778
311,2005,0.7387183,NA,0.5952338
311,2006,0.7616789,NA,0.5991116
311,2007,0.7606934,NA,0.6168221
311,2008,0.759494,NA,0.6182935
311,2009,0.7618842,NA,0.6195362
311,2010,0.7718534,NA,0.6189541
193,1990,1,0.8899782,0.7399087
193,1991,1,0.8899782,0.7928699
193,1992,1,0.8899782,0.8000813
193,1993,0.8291667,0.8247304,0.6908342
