"year","SystemicCrisis","CurrencyCrisis","SovereignDefault","SovereignDebtRestructuring","imfcode","country"
"1","1990",0,0,1,0,914,"ALBANIA"
"2","1992",0,0,0,1,914,"ALBANIA"
"3","1994",1,0,0,0,914,"ALBANIA"
"4","1997",0,1,0,0,914,"ALBANIA"
"5","1988",0,1,0,0,612,"ALGERIA"
"6","1990",1,0,0,0,612,"ALGERIA"
"7","1994",0,1,0,0,612,"ALGERIA"
"8","1988",0,0,1,0,614,"ANGOLA"
"9","1991",0,1,0,0,614,"ANGOLA"
"10","1992",0,0,0,1,614,"ANGOLA"
"11","1996",0,1,0,0,614,"ANGOLA"
"12","1980",1,0,0,0,213,"ARGENTINA"
"13","1981",0,1,0,0,213,"ARGENTINA"
"14","1982",0,0,1,0,213,"ARGENTINA"
"15","1987",0,1,0,0,213,"ARGENTINA"
"16","1989",1,0,0,0,213,"ARGENTINA"
"17","1993",0,0,0,1,213,"ARGENTINA"
"18","1995",1,0,0,0,213,"ARGENTINA"
"19","2002",0,1,0,0,213,"ARGENTINA"
"20","2001",1,0,1,0,213,"ARGENTINA"
"21","1975",0,1,0,0,213,"ARGENTINA"
"22","2005",0,0,0,1,213,"ARGENTINA"
"23","1994",1,1,0,0,911,"ARMENIA"
"24","2008",1,0,0,0,122,"AUSTRIA"
"25","1994",0,1,0,0,912,"AZERBAIJAN"
"26","1995",1,0,0,0,912,"AZERBAIJAN"
"27","1976",0,1,0,0,513,"BANGLADESH"
"28","1987",1,0,0,0,513,"BANGLADESH"
"29","1994",0,1,0,0,913,"BELARUS"
"30","1995",1,0,0,0,913,"BELARUS"
"31","2009",0,1,0,0,913,"BELARUS"
"32","1999",0,1,0,0,913,"BELARUS"
"33","2008",1,0,0,0,124,"BELGIUM"
"34","1988",1,0,0,0,638,"BENIN"
"35","1994",0,1,0,0,638,"BENIN"
"36","1980",0,0,1,0,218,"BOLIVIA, PLURINATIONAL STATE OF"
"37","1981",0,1,0,0,218,"BOLIVIA, PLURINATIONAL STATE OF"
"38","1986",1,0,0,0,218,"BOLIVIA, PLURINATIONAL STATE OF"
"39","1992",0,0,0,1,218,"BOLIVIA, PLURINATIONAL STATE OF"
"40","1994",1,0,0,0,218,"BOLIVIA, PLURINATIONAL STATE OF"
"41","1973",0,1,0,0,218,"BOLIVIA, PLURINATIONAL STATE OF"
