"country","CrisisDate","CrisisDateSystemic","CurrencyCrisis","YearCurrencyCrisis","SovereignCrisis","YearSovereignCrisis","CreditBoom","CreditorRights","CreditorRightsIndex","DepositIns","YearDICreated","DICoverageLimit","DICoverageRatio","DepositFreeze","DateDepositFreeze","DurationDepositFreeze","TimeDepositsFreeze","BankHoliday","DateBankHoliday","DurationBankHoliday","BankGuaranteee","DateBankGuaranteeStart","DateBankGuaranteeEnd","BankGuaranteeDuration","BankGuaranteeCoverage","EmergencyLending","DateEmergencyLending","PeakLendingSupport","BankRestructuring","Nationalizations","AssetPurchases","AMC","Recap","RecapCosts","RecoveryDummy","RecoveryProceeds","GovRecapCosts","DepositorLosses","DepositorLosesSeverity","MonetaryPolicyIndex","AverageReserveChange","FiscalPolicyIndex","IncreasePublicDebt","IMFProgram","YearIMFProgram","PeakNPLs","NetFiscalCosts","GrossFiscalCosts","FiveYearRecovery","OutputLoss","imfcode","year","AMCType"
"2","Argentina",1980-03-01,"May-80","Y","1981","N","","Y","","1","Y","1979"," Full ","","N","","","","N","","","N","","","","","Y","May-80","64.65","Y","Y","N","1","N","","","","","N","","1","10.57","-1","-21.95","Y","1983","9.00","55.10","55.10","0.00","58.17",213,1980,"None"
"3","Argentina",1989-12-01,"Dec-89","Y","1988","N","","N","","1","Y","1979"," Full ","","Y","1989","120","Y","Y","1990","4","N","","","","","Y","Feb-90","151.57","N","N","N","1","N","","","","","Y","1","1","9.98","-1","-27.29","Y","1990","27.00","6.00","6.00","0.00","12.63",213,1989,"None"
"4","Argentina",1995-01-01,"Jan-95","N","","N","","Y","","1","Y","1979","30000","404","N","","","","N","","","N","","","","","N","Jan-93","71.35","N","N","N","1","Y","0.28","N","0.00","0.28","N","","-1","-0.84","0","6.69","Y","1995","17.00","2.00","2.00","0.00","0.00",213,1995,"None"
"5","Argentina",2001-11-01,"Dec-01","Y","2002","Y","2002","N","","1","Y","1979","30000","419","Y","2001","12","N","Y","2001","5","N","","","","","Y","Jan-02","22.86","Y","Y","N","1","Y","9.58","N","0.00","9.58","Y","1","1","8.22","1","72.30","Y","2000","20.10","9.58","9.58","0.00","70.97",213,2001,"None"
"6","Austria",2008-09-01,"Dec-08","N","","","","N","","3","Y","","20000","61","N","","","","N","","","Y","Dec-08","","","Unlimited coverage to depositors. Bank and non-bank bonds. ","Y","Oct-08","13","Y","Y","N","2","Y","2.90","","","","N","","1","8.33","0","10.11","N","","2.83","","4.90","","14.00",122,2008,"Decentralised"
"7","Belgium",2008-09-01,"Oct-08","N","","","","Y","","2","Y","","20000","63","N","","","","N","","","Y","Oct-08","","","Deposit-like insurance instruments. Interbank loans and short-term debt. Specific guarantees on Dexia. ","Y","Sep-08","20","Y","Y","N","2","Y","5.80","","","","N","","1","8.33","0","13.80","N","","3.11","","6.00","","19.00",124,2008,"Decentralised"
"8","Bolivia",1994-11-01,"Nov-94","N","","N","","Y","","2","N","","    ","0","N","","","","N","","","N","","","","","Y","","31.93","Y","N","Y","2","Y","0.95","Y","0.95","0.00","Y","2","-1","1.64","-1","-25.24","N","","6.20","2.65","6.03","3.37","0.00",218,1994,"Centralised"
"9","Brazil",1990-02-01,"Feb-90","Y","1989","N","","Y","","1","N","","    ","0","Y","1990","29","N","N","","","N","","","","","Y","Jul-88","11.26","N","N","N","1","N","","","","","N","","1","7.69","-1","-22.64","Y","1989","","0.00","0.00","0.00","62.30",223,1990,"None"
"10","Brazil",1994-12-01,"Dec-94","Y","1993","N","","Y","","1","N","","    ","0","N","","","","N","","","N","","","","","Y","Oct-94","20.12","Y","N","N","1","Y","4.98","N ","0.00","4.98","N ","","-1","-4.26","-1","-46.98","N","","16.00","10.20","13.20","3.00","0.00",223,1994,"Decentralised"
"11","Bulgaria",1996-01-01,"Jun-96","Y","1996","N","","N","","1","Y","1996","5000","237","N","","","","N","","","N","","","","","Y","Jun-96","17.31","Y","Y","Y","2","Y","2.31","N","0.00","2.31","N","","-1","-2.18","-1","-44.08","Y","1996","75.00","13.90","14.00","0.10","59.51",918,1996,"Decentralised"
"12","Chile",1981-11-01,"Mar-83","Y","1982","N","","Y","","2","N","","    ","0","N","","","","N","","","N","","","","","Y","Mar-83","61.23","Y","N","Y","1","Y","34.33","Y","27.87","6.46","Y","2","-1","0.46","1","45.00","Y","1983","35.60","16.80","42.90","26.10","8.61",228,1981,"None"
"13","Colombia",1982-07-01,"Jul-82","N","","N","","Y","","0","N","","    ","0","N","","","","N","","","N","","","","","Y","","21.06","Y","Y","N","1","Y","1.87","N","0.00","1.87","N","","-1","-0.80","0","11.57","N","","4.10","5.00","5.00","0.00","46.96",233,1982,"None"
"14","Colombia",1998-06-01,"Jun-98","N","1997","N","","N","","0","Y","1988","10000000","329","N","","","","N","","","N","","","","","Y","Jan-00","5.07","Y","Y","Y","2","Y","4.26","Y","1.56","2.70","N","","-1","0.50","0","9.13","N","","14.00","2.54","6.28","3.74","43.40",233,1998,"Centralised"
"15","Cote d Ivoire",1988-01-01,"1988","N","","N","","N","","0","N","","    ","0","N","","","","N","","","N","","","","","Y","","76.85","Y","N","Y","2","Y","small","N","0.00","small","Y","1","-1","-3.32","-1","-11.38","Y","1985","50.00","25.00","25.00","0.00","44.81",662,1988,"Centralised"
"16","Croatia",1998-03-01,"Mar-98","N","","N","","N","","3","Y","1997","50000","180","N","","","","N","","","N","","","","","N","","3.25","Y","Y","Y","2","Y","3.20","N","0.00","3.20","N","","0","5.21","0","7.19","N","","10.50","6.90","6.90","0.00","",960,1998,"Centralised"
"17","Czech Republic",1996-06-01,"Jun-96","N","1997","N","","N","","3","Y","1994","100000","75","N","","","","N","","","N","Jun-96","Jan-98","18","Depositors, except shareholders up to CZK4m (at the 18 banks under restructuring) and CZK0.1m everywhere else","N","","12.66","Y","N","Y","2","Y","0.98","N","0.00","0.98","N","","-1","-1.28","0","-5.03","N","","18.00","5.80","6.80","1.00","",935,1996,"Centralised"
"18","Denmark",2008-09-01,"Feb-09","N","","","","N","","3","Y","","300000","97","N","","","","N","","","Y","Feb-09","","","Deposits and unsecured claims of PCA banks. ","Y","Nov-08","20","Y","Y","N","2","Y","2.80","","","","N","","-1","1.23","1","21.80","N","","4.45","","3.10","","36.00",128,2008,"Centralised"
"19","Dominican Republic",2003-04-01,"Apr-03","Y","2003","Y","2003","Y","","2","N","","    ","0","N","","","","N","","","N","","",""," ","Y","Jan-03","43.37","Y","N","Y","2","N","","","","","N","","1","6.69","0","-5.49","Y","2004","9.00","20.80","22.00","1.20","",243,2003,"Centralised"
"20","Ecuador",1998-08-01,"Dec-98","Y","1999","Y","1999","Y","","0","Y","1998","7416","381","Y","1999","6","N","Y","1999","5","Y","Dec-98","Jan-02","37","","Y","Oct-98","26.00","Y","Y","Y","2","Y","1.90","Y","0.30","1.60","Y","1","-1","-0.47","-1","-12.65","Y","2000","40.00","16.26","21.70","5.44","25.35",248,1998,"Centralised"
"21","Estonia",1992-11-01,"Nov-92","N","","N","","N","","","N","","    ","0","N","","","","N","","","N","","","","","Y","Jan-92","30.92","Y","Y","Y","2","Y","1.26","Y","0.27","0.99","Y","1","","","","","Y","1993","7.00","1.63","1.90","0.27","",939,1992,"Decentralised"
"22","Finland",1991-09-01,"Feb-93","Y","1992","N","","Y","","3","Y","1969"," Full ","","N","","","","N","","","Y","Feb-93","Dec-98","70","All creditors except for shareholders","Y","Feb-90","11.99","Y","Y","Y","2","Y","8.63","Y","1.72","6.91","N","","","","1","30.75","N","","13.00","11.08","12.80","1.72","69.59",172,1991,"Centralised"
"23","France",2008-09-01,"","N","","","","N","","0","Y","","70000","229","N","","","","N","","","Y","Oct-08","","","","Y","Oct-08","9","Y","N","N","2","Y","1.00","","","","N","","1","8.33","1","16.25","N","","4.02","","1.00","","23.00",132,2008,"Decentralised"
"24","Germany",2008-09-01,"Oct-09","N","","","","N","","3","Y","","20000","68","N","","","","N","","","Y","Oct-08","","","Unlimited coverage of household deposits. ","Y","Sep-08","11","Y","Y","Y","2","Y","1.80","","","","N","","1","8.33","1","15.97","N","","3.70","","1.80","","11.00",134,2008,"Decentralised"
"25","Ghana",1982-01-01,"Jan-82","Y","1983","N","","","","1","N","","    ","0","N","","","","N","","","N","","",""," ","N","","0.19","Y","N","Y","2","Y","6.00","N","0.00","6.00","N","","-1","-0.49","0","9.52","N","","35.00","6.00","6.00","0.00","45.31",652,1982,"Centralised"
"26","Greece",2008-09-01,"May-09","N","","","","Y","","1","Y","","20000","99","N","","","","N","","","Y","Oct-08","","","","Y","Oct-08","46","Y","N","N","1","Y","25.40","","","","N","","1","8.33","1","17.21","Y","2010, 2012","14.70","","27.30","","43.00",174,2008,"None"
"27","Hungary",2008-09-01,"","N","","","","Y","","1","Y","","6000000","237","N","","","","N","","","Y","Oct-08","","","Unlimited protection to depositors of small banks. ","Y","Apr-09","4","Y","N","N","1","Y","0.10","","","","N","","-1","-0.79","0","-2.95","Y","2008","13.34","","2.70","1.60","40.00",944,2008,"None"
"28","Iceland",2008-09-01,"Oct-08","Y","2008","","","Y","","","Y",""," Full ","","N","","","","N","","","Y","Oct-08","","","Unlimited coverage to domestic deposits. ","Y","Oct-08","21","Y","Y","N","1","Y","24.30","","","","Y","","-1","-2.30","1","28.03","Y","2008","61.20","","44.20","23.70","43.00",176,2008,"None"
"29","Indonesia",1997-11-01,"Dec-97","Y","1997","N","","N","","3","N","","    ","0","N","","","","N","","","Y","Jan-98","Jul-05","78","All deposits and other credits of all domestic banks (excluding shareholdersü¾–¼ capital, subordinated debt, and insider deposits).","Y","Jan-98","23.12","Y","Y","Y","2","Y","37.30","N","0.00","37.30","N","","0","4.52","0","10.76","Y","1998","32.50","52.30","56.80","4.60","69.02",536,1997,"Centralised"
"30","Ireland",2008-09-01,"Jan-09","N","","","","Y","","1","Y","","20000","46","N","","","","N","","","Y","Sep-08","","","Unlimited coverage to most liabilities of 10 banks. ","Y","Sep-08","20","Y","Y","Y","2","Y","40.70","","","","N","","1","8.33","1","32.11","Y","2010","12.90","","40.70","","106.00",178,2008,"Centralised"
"31","Italy",2008-09-01,"","N","","","","N","","2","Y","","103291","397","N","","","","N","","","Y","Nov-08","","","State guarantee for new bank liabilities. ","Y","Sep-08","8","Y","N","N","1","Y","0.30","","","","N","","1","8.33","0","8.29","N","","10.97","","0.30","","32.00",136,2008,"None"
"32","Jamaica",1996-12-01,"Feb-97","N","","N","","N","","2","N","","    ","0","N","","","","N","","","Y","Feb-97","Mar-98","11","Depositorsü¾–¼ funds in licensed deposit-taking institutions, pension funds managed by authorized institutions, and policy-holders funds in insurance companies","Y","","0.37","Y","Y","Y","2","Y","13.90","Y","4.95","8.95","N","","1","7.59","-1","-40.96","N","","28.90","38.95","43.90","4.95","37.79",343,1996,"Centralised"
"33","Japan",1997-11-01,"Nov-97","N","","N","","N","","3","Y","1971"," Full ","","N","","","","N","","","Y","Nov-97","Apr-05","89","All deposits, including interbank deposits","N","","2.42","Y","Y","Y","2","Y","6.61","Y","0.09","6.52","N","","1","7.21","1","27.73","N","","35.00","13.91","14.00","0.09","45.00",158,1997,"Centralised"
"34","Kazakhstan",2008-09-01,"Sep-10","N","","","","N","","2","Y","","700000","84","N","","","","N","","","N","N","","","","Y","May-09","5","Y","N","N","1","Y","2.40","","","","N","","0","3.33","0","5.39","N","","31.90","","3.70","","0.00",916,2008,"None"
"35","Korea",1997-08-01,"Nov-97","Y","1997","N","","Y","","3","Y","1996","20000000","218","N","","","","N","","","Y","Nov-97","Dec-00","37","All liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks, securities companies, insurance companies, merchant banks, mutual savings and finance companies, and credit unions. Overseas branches were also included.","Y","","27.45","Y","Y","Y","2","Y","19.31","Y","3.50","15.81","N","","-1","-0.35","-1","-21.29","Y","1998","35.00","23.20","31.20","8.00","57.59",542,1997,"Centralised"
"36","Latvia",1995-04-01,"Apr-95","N","","N","","","","3","N","","    ","0","N","","","","N","","","N","","",""," ","N","Aug-93","9.16","Y","N","N","1","N","","","","","Y","1","","","0","-2.58","Y","1993","20.00","3.00","3.00","0.00","",941,1995,"None"
"37","Latvia",2008-09-01,"Dec-08","N","","","","Y","","3","Y","","20000","308","Y","2008","","","N","","","Y","Dec-08","","","Guarantees on Parex syndicated loans","Y","Nov-08","5","Y","Y","N","2","Y","3.10","","","","N","","-1","-2.67","1","22.45","Y","2009","15.93","","5.60","","106.00",941,2008,"Decentralised"
"38","Lithuania",1995-12-01,"Dec-95","N","","N","","N","","1","N","","    ","0","N","","","","N","","","N","","","","","N","","27.47","Y","Y","Y","2","Y","1.70","Y","0.20","1.50","Y","2","","","0","7.73","N","","32.20","2.90","3.10","0.20","",946,1995,"Centralised"
"39","Luxembourg",2008-09-01,"Sep-08","N","","","","","","","Y","","20000","26","N","","","","N","","","Y","Oct-08","","","Guarantees on Dexia's debt","Y","Sep-08","15","Y","Y","N","1","Y","7.70","","","","N","","1","8.33","0","6.94","N","","1.30","","7.70","","36.00",137,2008,"None"
"40","Malaysia",1997-07-01,"Mar-98","Y","1997","N","","Y","","3","N","","    ","0","N","","","","N","","","Y","Jan-98","Aug-05","91","Deposits only of commercial banks, finance companies and merchant banks, including overseas branches of domestic banking institutions.","Y","Aug-97","9.72","Y","Y","Y","2","Y","16.40","Y","11.30","5.10","N","","0","3.97","-1","-16.25","N","","30.00","5.10","16.40","11.30","31.45",548,1997,"Centralised"
"41","Mexico",1994-12-01,"Jan-95","Y","1994","N","","Y","","0","Y","1986"," Full ","","N","","","","N","","","Y","Dec-93","Jan-03","109","All bank liabilities, including inter-bank deposits but excluding subordinated debt","Y","Jan-95","16.75","Y","Y","Y","1","Y","3.80","Y","1.30","2.50","N","","-1","0.42","0","-2.93","Y","1995","18.90","18.00","19.30","1.30","13.66",273,1994,"None"
"42","Mongolia",2008-09-01,"Nov-09","N","","","","N","","2","Y","","0","0","N","","","","N","","","Y","Already in place","","","Unlimited coverage to all deposits. ","Y","Nov-08","10","Y","Y","N","1","Y","4.20","","","","N","","0","3.00","-1","-9.23","Y","2009","","","4.20","","0.00",948,2008,"None"
"43","Netherlands",2008-09-01,"Oct-08","N","","","","N","","3","Y","","20000","58","N","","","","N","","","Y","Oct-08","","","Interbank loans of solvent banks. ","Y","Oct-08","9","Y","Y","N","1","Y","6.60","","","","N","","1","8.33","0","14.10","N","","3.20","","12.70","7.10","23.00",138,2008,"None"
"44","Nicaragua",2000-08-01,"Jan-01","N","","N","","Y","","4","N","","    ","0","N","","","","N","","","Y","Jan-01","Jul-02","14","All deposit liabilities except for related parties.","Y","Jan-98","21.82","Y","N","Y","2","N","","","","","N","","0","3.28","0","1.26","N","","12.70","12.57","13.61","1.04","0.00",278,2000,"Decentralised"
"45","Nigeria",2009-08-01,"Oct-11","N","","","","N","","4","Y","","","0","N","","","","N","","","Y","Oct-09","","","Guarantees on all interbank transactions, foreign credit lines and pension deposits. ","Y","May-11","25","Y","Y","Y","2","Y","11.80","","","","N","","-1","-0.53","0","-4.05","N","","30.10","","11.80","","14.00",694,2009,"Centralised"
"46","Norway",1991-10-01,"Oct-91","N","","N","","N","","2","Y","1961"," Full ","","N","","","","N","","","N","","",""," ","Y","","16.92","Y","Y","N","1","Y","2.61","Y","2.00","0.61","N","","-1","0.46","1","16.51","N","","16.36","0.60","2.70","2.10","5.15",142,1991,"None"
