"iso2c","country","year","GDPCurrentUSD","GDPperCapita","CapToAssetswdi","NPLwdi","CreditInfo","DomesticCredit","CreditBurCoverange","CurrentAccount","IMFCredits","PortfolioEquity","CashSurplusDeficit","ClaimsOnGov","CentGovDebt","ShortExternDebtAll","ExternPrivateDebt","ExternPublicDebt","ExternDebtTotal","TotalReserves","imfcode"
"1","1A","Arab World",1980,414394425300.253,2579.41685100355,NA,NA,NA,11.1821401420625,NA,NA,NA,138771242.391063,NA,NA,NA,NA,NA,NA,NA,81505863832.0691,NA
"2","1A","Arab World",1981,427160466360.419,2605.947363192,NA,NA,NA,3.30775260768546,NA,NA,NA,146900392.003721,NA,NA,NA,NA,NA,NA,NA,81048059677.7154,NA
"3","1A","Arab World",1982,397772993179.721,2437.95822500166,NA,NA,NA,7.83869356674569,NA,NA,NA,66579752.1995266,NA,NA,NA,NA,NA,NA,NA,79230227661.6411,NA
"4","1A","Arab World",1983,375144429327.444,2317.36210530084,NA,NA,NA,15.7194967799846,NA,NA,NA,61876933.7377408,NA,NA,NA,NA,NA,NA,NA,69558463528.1276,NA
"5","1A","Arab World",1984,379401951952.768,2290.86861708242,NA,NA,NA,23.607101647042,NA,NA,NA,102982192.717755,NA,NA,NA,NA,NA,NA,NA,60384056551.0833,NA
"6","1A","Arab World",1985,374558385602.157,2231.10893172694,NA,NA,NA,30.9180713106321,NA,NA,NA,35949849.9628967,NA,NA,NA,NA,NA,NA,NA,67383573226.7034,NA
"7","1A","Arab World",1986,352482448399.063,2176.39024984339,NA,NA,NA,47.5287362961016,NA,NA,NA,39041387.0187388,NA,NA,NA,NA,NA,NA,NA,61712308316.4808,NA
"8","1A","Arab World",1987,376134489926.453,2110.77845853877,NA,NA,NA,51.6154668723251,NA,NA,NA,16894694.7641531,NA,NA,NA,NA,NA,NA,NA,70359344357.2855,NA
"9","1A","Arab World",1988,362752859480.16,2148.85896485828,NA,NA,NA,53.1019630170081,NA,NA,NA,9326137.9588387,NA,NA,NA,NA,NA,NA,NA,60894878645.466,NA
"10","1A","Arab World",1989,383212306006.021,2131.47190011076,NA,NA,NA,51.4640632676207,NA,NA,NA,15800769.8486198,NA,NA,NA,NA,NA,NA,NA,58616460076.9866,NA
"11","1A","Arab World",1990,431071467635.157,2218.41829934426,NA,NA,NA,47.9857539771531,NA,NA,NA,4554079.69639469,NA,NA,NA,NA,NA,NA,NA,56808607289.2525,NA
"12","1A","Arab World",1991,423993837316.536,2278.59313590499,NA,NA,NA,46.6047255276022,NA,NA,NA,33527256.6682739,NA,NA,NA,NA,NA,NA,NA,64426636297.6324,NA
"13","1A","Arab World",1992,454085598326.96,2335.08180596489,NA,NA,NA,46.8801057872468,NA,NA,NA,47488033.7692685,NA,NA,NA,NA,NA,NA,NA,66008112418.8597,NA
"14","1A","Arab World",1993,459694776436.068,2341.56318083594,NA,NA,NA,49.4688345466496,NA,NA,NA,43584643.4824864,NA,NA,NA,NA,NA,NA,NA,71813533101.5996,NA
"15","1A","Arab World",1994,470012530666.676,2368.77789127825,NA,NA,NA,49.9743780056208,NA,NA,NA,243687389.959679,NA,NA,NA,NA,NA,NA,NA,75978712223.0795,NA
"16","1A","Arab World",1995,504509422389.034,2366.94137977548,NA,NA,NA,49.8640332404754,NA,NA,NA,32005125.3281526,NA,NA,NA,NA,NA,NA,NA,81296371919.2435,NA
"17","1A","Arab World",1996,557213860430.812,2424.37559556049,NA,NA,NA,46.7572524754173,NA,NA,NA,183975095.902544,NA,NA,NA,NA,NA,NA,NA,92543776391.9409,NA
"18","1A","Arab World",1997,592194492391.437,2462.67099997733,NA,NA,NA,49.5885631094677,NA,NA,NA,706340233.14708,NA,NA,NA,NA,NA,NA,NA,96657235923.8849,NA
"19","1A","Arab World",1998,575529116963.593,2518.10712609314,NA,NA,NA,57.8748581466513,NA,NA,NA,189058830.357062,NA,NA,NA,NA,NA,NA,NA,96913886415.6276,NA
"20","1A","Arab World",1999,627935539261.692,2528.76434195148,NA,NA,NA,57.9981621551553,NA,NA,NA,710552392.89252,NA,NA,NA,NA,NA,NA,NA,101791169375.847,NA
"21","1A","Arab World",2000,723410989942.555,2595.24353309794,NA,NA,NA,50.8703856480183,NA,NA,NA,254668218.870473,NA,NA,NA,NA,NA,NA,NA,118810166430.325,NA
"22","1A","Arab World",2001,704078454484.446,2588.68826297025,NA,NA,NA,55.2585677355428,NA,NA,NA,-1337567.07388785,NA,NA,NA,NA,NA,NA,NA,132111464383.509,NA
"23","1A","Arab World",2002,713816315529.9,2581.04461127775,NA,15.3,NA,54.9072898961714,NA,NA,NA,-125317572.066549,NA,NA,NA,NA,NA,NA,NA,150005341415.492,NA
"24","1A","Arab World",2003,803934374236.93,2664.22750471499,NA,NA,NA,53.5524132873385,NA,NA,NA,511441454.442414,NA,NA,NA,NA,NA,NA,NA,181847165180.735,NA
"25","1A","Arab World",2004,937289148299.266,2791.19991970093,NA,12.5,1.2,47.3573260398288,1.27692307692308,NA,NA,765198276.401631,NA,NA,NA,NA,NA,NA,NA,212563981483.386,NA
"26","1A","Arab World",2005,1138505229105.82,2877.08535642502,NA,8.3,1.44444444444444,40.9795560861335,1.64375,NA,NA,4797880880.583,NA,NA,NA,NA,NA,NA,NA,403836970781.735,NA
"27","1A","Arab World",2006,1355023447462.63,2981.28131451874,NA,6.3,1.66666666666667,38.324038686977,1.58888888888889,NA,NA,2287112438.389,NA,NA,NA,NA,NA,NA,NA,554341296534.906,NA
"28","1A","Arab World",2007,1568283776223.18,3049.49542305232,NA,NA,2.05,38.8210873899844,1.8,NA,NA,332682302.206,NA,NA,NA,NA,NA,NA,NA,779388732605.33,NA
"29","1A","Arab World",2008,1982440198030.47,3146.31114106927,NA,NA,2.4,33.5983001894319,4.34,NA,NA,3082192864.993,NA,NA,NA,NA,NA,NA,NA,953556676404.234,NA
"30","1A","Arab World",2009,1707257591407.11,3140.41786083399,NA,NA,2.7,46.4964335707424,5.405,NA,NA,1625795155.38065,NA,NA,NA,NA,NA,NA,NA,956371480680.783,NA
"31","1A","Arab World",2010,1983152197322.17,3211.5207186151,NA,NA,2.8,47.0257779794711,5.425,NA,NA,4345709887.29664,NA,NA,NA,NA,NA,NA,NA,1050437195100.82,NA
"32","1A","Arab World",2011,2409544892406.49,3312.49813533692,NA,NA,3.05,42.2626510329702,6.305,NA,NA,586117557.361,NA,NA,NA,NA,NA,NA,NA,1127236398293.16,NA
"33","1A","Arab World",2012,NA,NA,NA,NA,3.2,NA,7.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1W","World",1980,11021998100178.1,3987.97648192583,NA,NA,NA,93.5261689010425,NA,NA,NA,15513067726.2499,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1W","World",1981,11309864524349.9,4003.90597229315,NA,NA,NA,95.1243864452033,NA,NA,NA,13130624000.6481,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1W","World",1982,11199875673435.6,3949.68117253533,NA,NA,NA,100.143871348168,NA,NA,NA,7493067403.72407,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1W","World",1983,11443549871493.7,3988.80069188569,NA,NA,NA,106.118787386259,NA,NA,NA,21034032238.9035,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1W","World",1984,11878308222654,4109.40169090311,NA,NA,NA,110.172734834353,NA,NA,NA,193765421.495212,NA,NA,NA,NA,NA,NA,NA,678532404831.893,NA
"39","1W","World",1985,12474572170335,4196.71807433009,NA,NA,NA,113.840483287537,NA,NA,NA,21345147305.0324,NA,NA,NA,NA,NA,NA,NA,742708005859.671,NA
"40","1W","World",1986,14760988785068,4260.84005922138,NA,NA,NA,122.788004366413,NA,NA,NA,34726608553.0876,NA,NA,NA,NA,NA,NA,NA,869365658432.769,NA
"41","1W","World",1987,16766988581731.8,4335.13506654944,NA,NA,NA,127.961717709088,NA,NA,NA,8593873052.21339,NA,NA,NA,NA,NA,NA,NA,1162873502326.46,NA
"42","1W","World",1988,18755185204424.5,4460.60402619672,NA,NA,NA,131.980641764373,NA,NA,NA,24956107203.7087,NA,NA,NA,NA,NA,NA,NA,1103323625693.86,NA
"43","1W","World",1989,19680744521044.9,4550.25365226938,NA,NA,NA,136.197378270271,NA,NA,NA,74334809452.1755,NA,NA,NA,NA,NA,NA,NA,1136368689816.34,NA
"44","1W","World",1990,21985174659001.6,4608.61730831078,NA,NA,NA,130.530831467903,NA,NA,NA,-11585586168.4681,NA,NA,NA,NA,NA,NA,NA,1277036585203.71,NA
"45","1W","World",1991,23064641882573.6,4606.56537437301,NA,NA,NA,134.421646311123,NA,NA,NA,85668982272.023,NA,NA,NA,NA,NA,NA,NA,1308059105153.17,NA
"46","1W","World",1992,24659391829967,4632.9570609726,NA,NA,NA,138.144323242466,NA,NA,NA,46384678260.4625,NA,NA,NA,NA,NA,NA,NA,1289798942117.78,NA
"47","1W","World",1993,24999759679986.5,4645.10630500211,NA,NA,NA,143.500546782195,NA,NA,NA,178038129335.077,NA,NA,NA,NA,NA,NA,NA,1450173353534.67,NA
"48","1W","World",1994,26916205562092.8,4728.13419652009,NA,NA,NA,143.593499507185,NA,NA,NA,121172913832.437,NA,NA,NA,NA,NA,NA,NA,1599527592244.83,NA
"49","1W","World",1995,29787130956171,4793.42270901064,NA,NA,NA,145.897196465345,NA,NA,NA,120571122807.685,NA,NA,NA,NA,NA,NA,NA,1816345313254.83,NA
"50","1W","World",1996,30394728834795.1,4885.1289312878,NA,NA,NA,144.80578107313,NA,NA,NA,174042570760.504,NA,NA,NA,NA,NA,NA,NA,1973228121761.62,NA
"51","1W","World",1997,30319717106593.4,4995.15786249002,NA,NA,NA,144.352879223795,NA,NA,NA,199513607660.459,NA,NA,NA,NA,NA,NA,NA,1957151170799.78,NA
"52","1W","World",1998,30203274376715.9,5041.68512090701,NA,NA,NA,154.79489645212,NA,NA,NA,321677406186.81,NA,NA,NA,NA,NA,NA,NA,2027672178599.63,NA
"53","1W","World",1999,31324000864217.5,5138.98621570495,NA,NA,NA,161.314034115643,NA,NA,NA,605613348667.294,NA,NA,NA,NA,NA,NA,NA,2106391009875.58,NA
"54","1W","World",2000,32334240092427.8,5284.98641797209,8.7,9.5,NA,158.891241357865,NA,NA,NA,657426616370.485,NA,NA,NA,NA,NA,NA,NA,2231471020790.22,NA
