"iso2c","year","country","GDPCurrentUSD","GDPperCapita","CapToAssetswdi","NPLwdi","CreditInfo","DomesticCredit","CreditBurCoverange","CurrentAccount","IMFCredits","PortfolioEquity","CashSurplusDeficit","ClaimsOnGov","CentGovDebt","ShortExternDebtAll","ExternPrivateDebt","ExternPublicDebt","ExternDebtTotal","TotalReserves","imfcode","IMFCreditsGDP","PortfolioEquityGDP","ShortExternDebtAllGDP","ExternPrivateDebtGDP","ExternPublicDebtGDP","ExternDebtTotalGDP","TotalReservesGDP"
"1",NA,1980,"Namibia",2168627165.41691,3305.53886054237,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"2",NA,1981,"Namibia",1950821648.7275,3265.11333855521,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"3",NA,1982,"Namibia",1803252393.58499,3184.40048383942,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"4",NA,1983,"Namibia",1928911229.22738,3055.64692546686,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"5",NA,1984,"Namibia",1625456905.84067,2965.1054456303,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"6",NA,1985,"Namibia",1355065229.69498,2884.46270326724,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"7",NA,1986,"Namibia",1527331131.24552,2905.60448569968,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"8",NA,1987,"Namibia",1934644161.03208,2881.2583509525,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"9",NA,1988,"Namibia",2128466758.3768,2779.83765592955,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"10",NA,1989,"Namibia",2169538572.69908,2712.23725306985,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
"11",NA,1990,"Namibia",2350307670.25736,2672.80721632661,NA,NA,NA,19.503305377405,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"12",NA,1991,"Namibia",2492290810.71881,2791.26529640718,NA,NA,NA,19.5342778262133,NA,NA,0,-4092253.147504,-2.56320836965998,-8.26962425689666,NA,NA,NA,NA,NA,NA,NA,0,-0.164196454519035,NA,NA,NA,NA,NA
"13",NA,1992,"Namibia",2837643688.65629,2898.01282988212,NA,NA,NA,44.1863462251328,NA,NA,0,6030825.58320626,-5.00061781786729,38.209626041803,NA,NA,NA,NA,NA,49717500,NA,0,0.212529346348697,NA,NA,NA,NA,1.75206986693748
"14",NA,1993,"Namibia",2846614324.53643,2756.41774367982,NA,NA,NA,48.265072027521,NA,NA,0,1071076.12727128,NA,4.51381295948243,NA,NA,NA,NA,NA,133694471.2,NA,0,0.037626316921092,NA,NA,NA,NA,4.6966134487422
"15",NA,1994,"Namibia",3251944750.45284,2872.70591111894,NA,NA,NA,48.5509049969689,NA,NA,0,37540853.4888164,NA,1.51644444813811,NA,NA,NA,NA,NA,202621731.3051,NA,0,1.15441240148956,NA,NA,NA,NA,6.23078640179494
"16",NA,1995,"Namibia",3503088568.36826,2903.38851292779,NA,NA,NA,55.4788603809224,NA,NA,0,45739209.3099555,NA,1.66806083563995,NA,NA,NA,NA,NA,220986649.70013,NA,0,1.30568235479301,NA,NA,NA,NA,6.30833749667556
"17",NA,1996,"Namibia",3491458687.83628,2906.38973998347,NA,NA,NA,55.5933848511092,NA,NA,0,51193795.0298291,NA,9.94195108772134,NA,NA,NA,NA,NA,193866390.2192,NA,0,1.4662580774099,NA,NA,NA,NA,5.55259012213438
"18",NA,1997,"Namibia",3635229893.7672,2938.23426346243,NA,NA,NA,50.0317951167095,NA,NA,0,28819684.1915279,NA,-14.5982215048427,NA,NA,NA,NA,NA,250531564.92825,NA,0,0.792788490239388,NA,NA,NA,NA,6.89176674514589
"19",NA,1998,"Namibia",3398703726.78925,2948.20536214787,NA,NA,NA,48.9942838895098,NA,NA,0,18088795.1822303,NA,0.409811991975015,NA,NA,NA,NA,NA,260253246.318,NA,0,0.532226302623876,NA,NA,NA,NA,7.65742669084783
"20",NA,1999,"Namibia",3385555872.76121,2969.79385259932,NA,NA,NA,48.7805888609553,NA,NA,0,40670032.2895021,-2.79443047766389,5.04263572949717,NA,NA,NA,NA,NA,305489557.18136,NA,0,1.20128078867983,NA,NA,NA,NA,9.02332050223136
"21",NA,2000,"Namibia",3908598123.34455,3007.3189368047,NA,NA,NA,42.7467428571429,NA,NA,0,34744312.708861,-1.62975852534562,-3.99490213700037,NA,NA,NA,NA,NA,259836317.691399,NA,0,0.888920058098238,NA,NA,NA,NA,6.64781360200469
"22",NA,2001,"Namibia",3546795054.15585,2990.30517340192,8.7,3.4,NA,43.460425740953,NA,NA,0,25914772.6151661,-4.18511544129687,1.27328395043515,NA,NA,NA,NA,NA,234251046.84519,NA,0,0.730653229732044,NA,NA,NA,NA,6.60458366689988
"23",NA,2002,"Namibia",3361241961.35377,3090.21758235428,7.5,3.5,NA,42.1470028387384,NA,NA,0,8158647.00441614,-2.38858594411516,-4.95965739714587,NA,NA,NA,NA,NA,323133447.424437,NA,0,0.242727155563956,NA,NA,NA,NA,9.61351343163323
"24",NA,2003,"Namibia",4931293712.20614,3183.93463133166,8.3,3.9,NA,46.5005371680249,NA,NA,0,3882128.6747626,-6.66756380012867,5.28860287293988,NA,NA,NA,NA,NA,325217778.002459,NA,0,0.0787243449959875,NA,NA,NA,NA,6.59497886320311
"25",NA,2004,"Namibia",6606970842.65234,3535.25634607019,8.8,2.4,4,49.6027557522435,35.3,NA,0,4533311.55634187,-2.58137725813632,2.67890093525049,NA,NA,NA,NA,NA,345060355.48061,NA,0,0.06861406935651,NA,NA,NA,NA,5.22267108026296
"26",NA,2005,"Namibia",7261301442.47414,3582.24385995747,7.8,2.3,4,55.5907341858717,35.2,4.59105518594973,0,5055378.70825487,-0.0486194425796392,3.37522520320021,NA,NA,NA,NA,NA,312104907.797971,NA,0,0.0696208351671509,NA,NA,NA,NA,4.29819516887633
"27",NA,2006,"Namibia",7978676469.77384,3787.21580961717,7.5,2.6,4,52.560751394446,35.2,13.5656326443084,0,4728614.98494808,5.17200710742578,-7.44039970956659,NA,NA,NA,NA,NA,449578847.021961,NA,0,0.059265656438907,NA,NA,NA,NA,5.63475469553291
"28",NA,2007,"Namibia",8811608766.89852,3937.48995608432,7.9,2.8,4,48.4722917972993,59.9,8.49801490737702,0,4521527.35828866,1.96010856783879,-10.5567606057186,NA,NA,NA,NA,NA,896022010.583133,NA,0,0.0513133013267012,NA,NA,NA,NA,10.16865403681
"29",NA,2008,"Namibia",8829927125.40153,4012.41103461424,8,3.1,4,43.756776418533,59.6,2.90778432200387,0,3901631.13309236,NA,-9.79121410562495,NA,NA,NA,NA,NA,1292948220.1821,NA,0,0.0441864477212765,NA,NA,NA,NA,14.6427960482551
"30",NA,2009,"Namibia",8859203056.19983,3908.14323280495,7.9,2.7,4,45.9625244752498,57.7,-1.37860304043243,0,3726374.15147197,NA,-1.8281833547518,NA,NA,NA,NA,NA,2050927458.28497,NA,0,0.0420621824314568,NA,NA,NA,NA,23.1502477736944
"31",NA,2010,"Namibia",11065912279.3816,4085.71416766677,8.4,2,4,52.7520219773961,58.5,0.953272133476056,0,4376203.1280825,NA,7.34554575966876,NA,NA,NA,NA,NA,1695690506.52404,NA,0,0.0395466999701091,NA,NA,NA,NA,15.3235491454556
"32",NA,2011,"Namibia",12623100410.462,4242.35847946933,7.8,1.5,4,50.5851988478348,61.5,-1.1753224469683,0,4426434.09612985,NA,2.26391765891619,NA,NA,NA,NA,NA,1786689890.24195,NA,0,0.035066140268212,NA,NA,NA,NA,14.1541287967665
"33",NA,2012,"Namibia",13072278942.987,4372.79849759393,8,1.4,4,49.5324212164339,63.9,NA,0,NA,NA,-1.3026039896811,NA,NA,NA,NA,NA,1745866242.86536,NA,0,NA,NA,NA,NA,NA,13.3554849194981
"34","1A",1980,"Arab World",414568612868.088,3384.14978264743,NA,NA,NA,11.182140142066,NA,NA,0,138771242.391063,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0334736490133706,NA,NA,NA,NA,NA
"35","1A",1981,"Arab World",427340020037.116,3421.99990719821,NA,NA,NA,3.30775260767988,NA,NA,0,146900392.003721,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0343755288800151,NA,NA,NA,NA,NA
"36","1A",1982,"Arab World",397940194054.021,3179.61596274413,NA,NA,NA,7.83869356674592,NA,NA,0,66579752.1995266,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0167310950726652,NA,NA,NA,NA,NA
"37","1A",1983,"Arab World",375302118455.873,3006.70636138532,NA,NA,NA,15.7194967799893,NA,NA,0,61876933.7377408,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0164872327372743,NA,NA,NA,NA,NA
"38","1A",1984,"Arab World",379561430698.819,2964.13502711318,NA,NA,NA,23.6071016470472,NA,NA,0,102982192.717755,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0271318907530073,NA,NA,NA,NA,NA
"39","1A",1985,"Arab World",374715828391.264,2872.76927526078,NA,NA,NA,30.9180713106319,NA,NA,0,35949849.9628967,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00959389682502529,NA,NA,NA,NA,NA
"40","1A",1986,"Arab World",352630611734.386,2800.63908413971,NA,NA,NA,47.5287362961233,NA,NA,0,39041387.0187388,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.011071468477089,NA,NA,NA,NA,NA
"41","1A",1987,"Arab World",376292595219.005,2711.36423895884,NA,NA,NA,51.6154668723426,NA,NA,0,16894694.7641531,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00448977603567252,NA,NA,NA,NA,NA
"42","1A",1988,"Arab World",362905339905.701,2757.78642253746,NA,NA,NA,53.1019630170057,NA,NA,0,9326137.9588387,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00256985415570409,NA,NA,NA,NA,NA
"43","1A",1989,"Arab World",383373386405.32,2741.80779809126,NA,NA,NA,51.4640632676274,NA,NA,0,15800769.8486198,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0041215093193544,NA,NA,NA,NA,NA
"44","1A",1990,"Arab World",431252665272.282,2852.18698585836,NA,NA,NA,47.9857539771239,NA,NA,0,4554079.69639469,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00105601195380888,NA,NA,NA,NA,NA
"45","1A",1991,"Arab World",424172059924.585,2931.654471426,NA,NA,NA,46.604725527613,NA,NA,0,33527256.6682739,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00790416433233128,NA,NA,NA,NA,NA
"46","1A",1992,"Arab World",454276469779.724,3001.04237312485,NA,NA,NA,46.8801057872439,NA,NA,0,47488033.7692685,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0104535534918406,NA,NA,NA,NA,NA
"47","1A",1993,"Arab World",459888005664.664,3009.01384157452,NA,NA,NA,49.4688345466345,NA,NA,0,43584643.4824864,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00947722987893426,NA,NA,NA,NA,NA
"48","1A",1994,"Arab World",470210096885.321,3038.60525866246,NA,NA,NA,49.974378005607,NA,NA,0,243687389.959679,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0518252142125123,NA,NA,NA,NA,NA
"49","1A",1995,"Arab World",504721489115.5,3031.26115775479,NA,NA,NA,49.8640332404754,NA,NA,0,32005125.3281526,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0063411457642194,NA,NA,NA,NA,NA
"50","1A",1996,"Arab World",557448081070.115,3100.86015194333,NA,NA,NA,46.7572524753998,NA,NA,0,183975095.902544,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0330030907182195,NA,NA,NA,NA,NA
"51","1A",1997,"Arab World",592443416875.022,3146.61334520082,NA,NA,NA,49.5885631094677,NA,NA,0,706340233.14708,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.119224927314212,NA,NA,NA,NA,NA
"52","1A",1998,"Arab World",575771036282.634,3229.01177569397,NA,NA,NA,57.8748581466338,NA,NA,0,189058830.357062,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0328357660325687,NA,NA,NA,NA,NA
"53","1A",1999,"Arab World",628199487224.612,3246.92868396881,NA,NA,NA,57.9981621551431,NA,NA,0,710552392.89252,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.113109355760818,NA,NA,NA,NA,NA
"54","1A",2000,"Arab World",723715070290.041,3328.7770797691,NA,NA,NA,50.8703856480264,NA,NA,0,254668218.870473,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0351890169660845,NA,NA,NA,NA,NA
"55","1A",2001,"Arab World",704374408546.84,3313.48022199313,NA,NA,NA,55.2585677355363,NA,NA,0,-1337567.07388785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.000189894331431961,NA,NA,NA,NA,NA
"56","1A",2002,"Arab World",714116362828.379,3300.02450586127,NA,15.3,NA,54.9072898961823,NA,NA,0,-125317572.066549,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0175486207276091,NA,NA,NA,NA,NA
"57","1A",2003,"Arab World",804272301980.88,3396.85863721672,NA,NA,NA,53.5524132873526,NA,NA,0,511441454.442414,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0635905840823762,NA,NA,NA,NA,NA
"58","1A",2004,"Arab World",946335776966.008,3609.38488253598,NA,12.5,1.25,46.9433256172703,1.0375,NA,0,765198276.401631,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0808590666258956,NA,NA,NA,NA,NA
"59","1A",2005,"Arab World",1157907043826.16,3737.30121759384,NA,8.3,1.44444444444444,40.322444085108,1.46111111111111,NA,0,4876034670.56254,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.421107609333672,NA,NA,NA,NA,NA
"60","1A",2006,"Arab World",1396616765748.44,3888.5945315918,NA,6.3,1.66666666666667,37.2184046420687,1.58888888888889,NA,0,2276973953.93702,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.163034986388467,NA,NA,NA,NA,NA
"61","1A",2007,"Arab World",1632714665672.95,4011.95386743508,NA,NA,2.05,37.3242294992287,2.985,NA,0,349825342.224265,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.021425993750113,NA,NA,NA,NA,NA
"62","1A",2008,"Arab World",2073240308409.21,4173.7449449633,NA,NA,2.4,32.1575694306982,4.34,NA,0,3154441414.12367,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.152150303142816,NA,NA,NA,NA,NA
"63","1A",2009,"Arab World",1808657445166.29,4170.88105719165,NA,NA,2.7,43.9206566103515,5.405,NA,0,1625795155.38325,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0898896117519795,NA,NA,NA,NA,NA
"64","1A",2010,"Arab World",2103600083955.03,4269.52774958691,NA,NA,2.8,44.2337211306518,5.425,NA,0,4352278310.05905,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.20689665983832,NA,NA,NA,NA,NA
"65","1A",2011,"Arab World",2554674290051.38,4401.39688782522,NA,NA,3.05,40.2603873630815,6.305,NA,0,598851217.922319,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0234413921279286,NA,NA,NA,NA,NA
"66","1A",2012,"Arab World",NA,4481.07588244498,NA,NA,3.0952380952381,23.8744039826308,7.29047619047619,NA,0,-925384615.384615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1W",1980,"World",11027922353224.7,5023.07944126778,NA,NA,NA,93.4917578053188,NA,NA,0,15513067726.2499,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.14067081023393,NA,NA,NA,NA,NA
"68","1W",1981,"World",11317869453615.3,5036.76752375068,NA,NA,NA,95.0703662610022,NA,NA,0,13130624000.6481,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.116016747272639,NA,NA,NA,NA,NA
"69","1W",1982,"World",11206865588740.8,4968.35365396535,NA,NA,NA,100.097707184865,NA,NA,0,7493067403.72407,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0668614015613083,NA,NA,NA,NA,NA
"70","1W",1983,"World",11449692403820.6,5010.64555012781,NA,NA,NA,106.079653573134,NA,NA,0,21034032238.9035,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.183708273524315,NA,NA,NA,NA,NA
"71","1W",1984,"World",11883999109258.6,5154.01016616236,NA,NA,NA,110.137805414444,NA,NA,0,193765421.495212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00163047320782995,NA,NA,NA,NA,NA
"72","1W",1985,"World",12480267074030.5,5257.40028344813,NA,NA,NA,113.805483354966,NA,NA,0,21345147305.0324,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.171031174079987,NA,NA,NA,NA,NA
"73","1W",1986,"World",14767379849370.6,5334.43001470062,NA,NA,NA,122.765895068062,NA,NA,0,34726608553.0876,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.235157549323604,NA,NA,NA,NA,NA
"74","1W",1987,"World",16773947408393.5,5422.2586085957,NA,NA,NA,127.9426604823,NA,NA,0,8593873052.21339,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0512334565202769,NA,NA,NA,NA,NA
"75","1W",1988,"World",18761770688159.4,5573.15186436674,NA,NA,NA,131.970555791016,NA,NA,0,24956107203.7087,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.133015735127061,NA,NA,NA,NA,NA
"76","1W",1989,"World",19688143788637.4,5682.79947801944,NA,NA,NA,136.184145316969,NA,NA,0,74334809452.1755,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.377561288916816,NA,NA,NA,NA,NA
"77","1W",1990,"World",22000729417870.2,5737.53610559803,NA,NA,NA,130.450875654885,NA,NA,0,-11585586168.4681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0526600093497702,NA,NA,NA,NA,NA
"78","1W",1991,"World",23083060873683.5,5718.75699078807,NA,NA,NA,134.32975365744,NA,NA,0,85668982272.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.371133545680211,NA,NA,NA,NA,NA
"79","1W",1992,"World",24680057182072.9,5732.37203708086,NA,NA,NA,138.045478701514,NA,NA,0,46384678260.4625,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.187943965924663,NA,NA,NA,NA,NA
"80","1W",1993,"World",25019085816296.4,5734.09776479254,NA,NA,NA,143.411607000477,NA,NA,0,178038129335.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.711609251602272,NA,NA,NA,NA,NA
"81","1W",1994,"World",26868046895440.3,5827.00395076229,NA,NA,NA,143.647292004484,NA,NA,0,121172913832.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.450992639338444,NA,NA,NA,NA,NA
