"country","CrisisYear","year","imfcode"
"1","Austria",2008,NA,122
"2","Austria",2008,2009,122
"3","Belgium",2008,2008,124
"4","Belgium",2008,2008,124
"5","Bolivia",1994,1995,218
"6","Bulgaria",1996,1996,918
"7","Bulgaria",1996,1996,918
"8","Colombia",1998,NA,233
"9","Cote d Ivoire",1988,NA,662
"10","Croatia",1998,1997,960
"13","Czech Republic",1996,1996,935
"14","Denmark",2008,2008,128
"15","Dominican Republic",2003,2003,243
"16","Ecuador",1998,NA,248
"17","Estonia",1992,1995,939
"18","Finland",1991,1993,172
"19","Finland",1991,1993,172
"20","France",2008,2008,132
"22","France",2008,1995,132
"23","Germany",2008,2008,134
"24","Germany",2008,2010,134
"25","Germany",2008,2009,134
"26","Germany",2008,2009,134
"28","Ghana",1982,1990,652
"29","Indonesia",1997,1998,536
"30","Ireland",2008,2009,178
"31","Jamaica",1996,1997,343
"32","Japan",1997,1996,158
"33","Japan",1997,1999,158
"34","Japan",1997,2003,158
"35","Korea",1997,1962,542
"36","Korea",1997,1996,542
"37","Latvia",2008,2010,941
"38","Lithuania",1995,1996,946
"39","Malaysia",1997,1998,548
"40","Malaysia",1997,1998,548
"41","Malaysia",1997,1998,548
"42","Nicaragua",2000,NA,278
"43","Nigeria",2009,2010,694
"44","Russia",1998,1999,922
"45","Russia",1998,1998,922
"46","Sweden",1991,1992,144
"47","Sweden",1991,1993,144
"48","Sweden",1991,NA,144
"49","Switzerland",2008,2008,146
"50","Thailand",1997,1997,578
"51","Thailand",1997,1997,578
"52","Thailand",1997,1997,578
"53","Thailand",1997,1998,578
"54","Thailand",1997,NA,578
"55","Thailand",1997,1998,578
"56","Turkey",2000,2000,186
"57","United Kingdom",2007,2008,112
"58","United Kingdom",2007,2010,112
"59","United Kingdom",2007,2010,112
"60","United States",2007,2008,111
"61","United States",2007,2008,111
"62","United States",2007,2008,111
"64","United States",2007,NA,111
"65","Uruguay",2002,2002,298
"66","Uruguay",2002,2002,298
"67","Vietnam",1997,2000,582
"68","Vietnam",1997,2003,582
