"imfcode","year","country","CrisisYear","CrisisDate","CrisisDateSystemic","CurrencyCrisis","YearCurrencyCrisis","SovereignCrisis","YearSovereignCrisis","CreditBoom","CreditorRights","CreditorRightsIndex","DepositIns","YearDICreated","DICoverageLimit","DICoverageRatio","DepositFreeze","DateDepositFreeze","DurationDepositFreeze","TimeDepositsFreeze","BankHoliday","DateBankHoliday","DurationBankHoliday","BankGuaranteee","DateBankGuaranteeStart","DateBankGuaranteeEnd","BankGuaranteeDuration","BankGuaranteeCoverage","EmergencyLending","DateEmergencyLending","PeakLendingSupport","BankRestructuring","Nationalizations","AssetPurchases","AMC","AMCType","Recap","RecapCosts","RecoveryDummy","RecoveryProceeds","GovRecapCosts","DepositorLosses","DepositorLosesSeverity","MonetaryPolicyIndex","AverageReserveChange","FiscalPolicyIndex","IncreasePublicDebt","IMFProgram","YearIMFProgram","PeakNPLs","NetFiscalCosts","GrossFiscalCosts","FiveYearRecovery","OutputLoss","yrcurnt","ElectionYear","govfrac","execrlc","UDS"
"5",124,2008,"Belgium",2008,"2008-09-01","Oct-08","N",NA,"",NA,"Y",NA,2,"Y",NA,"20000",63,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Deposit-like insurance instruments. Interbank loans and short-term debt. Specific guarantees on Dexia. ","Y","Sep-08",20,"Y","Y","N","AMCCreated","Decentralised","Y","5.80","",NA,"","N",NA,1,8.33,0,13.8,"N","",3.11,NA,6,NA,19,3,"NotElectionYear",0.790099024772644,"Right",1.23769166764415
"6",124,2008,"Belgium",2008,"2008-09-01","Oct-08","N",NA,"",NA,"Y",NA,2,"Y",NA,"20000",63,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Deposit-like insurance instruments. Interbank loans and short-term debt. Specific guarantees on Dexia. ","Y","Sep-08",20,"Y","Y","N","AMCCreated","Decentralised","Y","5.80","",NA,"","N",NA,1,8.33,0,13.8,"N","",3.11,NA,6,NA,19,3,"NotElectionYear",0.790099024772644,"Right",1.23769166764415
"20",218,1995,"Bolivia",1994,"1994-11-01","Nov-94","N",NA,"N",NA,"Y",NA,2,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","",31.93,"Y","N","Y","AMCCreated","Centralised","Y","0.95","Y",0.95,"0.00","Y",2,-1,1.64,-1,-25.24,"N","",6.2,2.65,6.03,3.37,0,2,"NotElectionYear",0.501136004924774,"Center",0.731784685639944
"36",918,1996,"Bulgaria",1996,"1996-01-01","Jun-96","Y",1996,"N",NA,"N",NA,1,"Y",1996,"5000",237,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","Jun-96",17.31,"Y","Y","Y","AMCCreated","Decentralised","Y","2.31","N",0,"2.31","N",NA,-1,-2.18,-1,-44.08,"Y","1996",75,13.9,14,0.1,59.51,0,"ElectionYear",0,NA,0.75883510809914
"37",918,1996,"Bulgaria",1996,"1996-01-01","Jun-96","Y",1996,"N",NA,"N",NA,1,"Y",1996,"5000",237,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","Jun-96",17.31,"Y","Y","Y","AMCCreated","Decentralised","Y","2.31","N",0,"2.31","N",NA,-1,-2.18,-1,-44.08,"Y","1996",75,13.9,14,0.1,59.51,0,"ElectionYear",0,NA,0.75883510809914
"43",960,1997,"Croatia",1998,"1998-03-01","Mar-98","N",NA,"N",NA,"N",NA,3,"Y",1997,"50000",180,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","N","",3.25,"Y","Y","Y","AMCCreated","Centralised","Y","3.20","N",0,"3.20","N",NA,0,5.21,0,7.19,"N","",10.5,6.9,6.9,0,NA,0,"ElectionYear",0,"Right",0.0978680010159726
"40",935,1996,"Czech Republic",1996,"1996-06-01","Jun-96","N",1997,"N",NA,"N",NA,3,"Y",1994,"100000",75,"N",NA,NA,"","N",NA,NA,"N","Jun-96","Jan-98",18,"Depositors, except shareholders up to CZK4m (at the 18 banks under restructuring) and CZK0.1m everywhere else","N","",12.66,"Y","N","Y","AMCCreated","Centralised","Y","0.98","N",0,"0.98","N",NA,-1,-1.28,0,-5.03,"N","",18,5.8,6.8,1,NA,0,"ElectionYear",0.442124545574188,"Right",1.45245967015427
"7",128,2008,"Denmark",2008,"2008-09-01","Feb-09","N",NA,"",NA,"N",NA,3,"Y",NA,"300000",97,"N",NA,NA,"","N",NA,NA,"Y","Feb-09","",NA,"Deposits and unsecured claims of PCA banks. ","Y","Nov-08",20,"Y","Y","N","AMCCreated","Centralised","Y","2.80","",NA,"","N",NA,-1,1.23,1,21.8,"N","",4.45,NA,3.1,NA,36,3,"NotElectionYear",0.62002044916153,"Right",2.01238596441199
"41",939,1995,"Estonia",1992,"1992-11-01","Nov-92","N",NA,"N",NA,"N",NA,NA,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","Jan-92",30.92,"Y","Y","Y","AMCCreated","Decentralised","Y","1.26","Y",0.27,"0.99","Y",1,NA,NA,NA,NA,"Y","1993",7,1.63,1.9,0.27,NA,1,"NotElectionYear",0.622531950473785,"Right",0.655454732404051
"17",172,1993,"Finland",1991,"1991-09-01","Feb-93","Y",1992,"N",NA,"Y",NA,3,"Y",1969," Full ",NA,"N",NA,NA,"","N",NA,NA,"Y","Feb-93","Dec-98",70,"All creditors except for shareholders","Y","Feb-90",11.99,"Y","Y","Y","AMCCreated","Centralised","Y","8.63","Y",1.72,"6.91","N",NA,NA,NA,1,30.75,"N","",13,11.08,12.8,1.72,69.59,2,"NotElectionYear",0.596573233604431,"Center",2.00914992142388
